,name,n_qubits,gadgets,UCCSD-set (cx),UCCSD-set (depth),pauli-steiner-gray-synth (cx),pauli-steiner-gray-synth (depth),architecture-aware-UCCSD-set (cx),architecture-aware-UCCSD-set (depth)
0,H2_JW_sto3g,4,12,54 (15.62),74 (10.84),\textbf{44 (31.25)},86 (-3.61),45 (29.69),\textbf{73 (12.05)}
1,H2_JW_631g,8,84,575 (32.19),650 (36.09),\textbf{444 (47.64)},689 (32.25),654 (22.88),\textbf{589 (42.08)}
2,H4_JW_sto3g,8,160,1171 (33.47),\textbf{742 (63.16)},\textbf{768 (56.36)},1180 (41.41),1321 (24.94),1015 (49.60)
3,NH_JW_sto3g,12,640,6415 (39.25),\textbf{3630 (66.83)},\textbf{2960 (71.97)},4356 (60.20),9193 (12.95),5303 (51.54)
4,LiH_JW_sto3g,12,640,6369 (39.69),\textbf{3751 (68.02)},\textbf{2952 (72.05)},4339 (63.01),9521 (9.84),5250 (55.25)
5,H2O_JW_sto3g,14,1000,13204 (31.17),7625 (60.31),\textbf{4708 (75.46)},\textbf{6794 (64.64)},16475 (14.12),8759 (54.41)
6,BeH2_JW_sto3g,14,1488,21787 (26.24),10093 (67.71),\textbf{6924 (76.56)},\textbf{9709 (68.94)},25937 (12.19),11881 (61.99)
7,CH2_JW_sto3g,14,1488,20684 (29.97),9477 (68.60),\textbf{6436 (78.21)},\textbf{9236 (69.40)},26909 (8.89),12812 (57.55)
