,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
75,12,127,1,Ewout van den Berg (stim),2,0,1,0.012600183486938477,2,1
76,12,127,1,Duncan et al (pyzx),4,0,1,0.17671680450439453,3,1
77,12,127,1,Maslov et al,141542,0,70968,8.405368328094482,13292,6422
78,13,127,1,ours,0,1,0,2.408134937286377,1,0
79,13,127,1,qiskit transpile,0,1,0,0.00874471664428711,1,0
80,13,127,1,Bravyi et al. (qiskit),0,1,0,0.009565114974975586,1,0
81,13,127,1,Ewout van den Berg (stim),2,1,0,0.010211944580078125,2,0
82,13,127,1,Duncan et al (pyzx),0,1,0,0.15889954566955566,1,0
83,13,127,1,Maslov et al,171306,1,87302,9.447497844696045,18071,9025
84,14,127,1,ours,0,0,1,2.505230665206909,1,1
85,14,127,1,qiskit transpile,4,0,1,0.011535406112670898,3,1
86,14,127,1,Bravyi et al. (qiskit),4,0,1,0.08419513702392578,3,1
87,14,127,1,Ewout van den Berg (stim),6,0,1,0.012343406677246094,3,1
88,14,127,1,Duncan et al (pyzx),8,0,1,0.16423940658569336,7,1
89,14,127,1,Maslov et al,149766,0,75604,8.410550355911255,14911,7393
90,15,127,1,ours,0,0,1,2.4185500144958496,1,1
91,15,127,1,qiskit transpile,4,0,1,0.011572599411010742,3,1
92,15,127,1,Bravyi et al. (qiskit),0,0,1,0.01105189323425293,1,1
93,15,127,1,Ewout van den Berg (stim),2,0,1,0.012332916259765625,2,1
94,15,127,1,Duncan et al (pyzx),8,0,1,0.1653423309326172,7,1
95,15,127,1,Maslov et al,153034,0,77530,8.61581563949585,13904,6864
96,16,127,1,ours,0,1,0,2.418208599090576,1,0
97,16,127,1,qiskit transpile,0,1,0,0.009335517883300781,1,0
98,16,127,1,Bravyi et al. (qiskit),0,1,0,0.02000117301940918,1,0
99,16,127,1,Ewout van den Berg (stim),2,1,0,0.021150588989257812,2,0
100,16,127,1,Duncan et al (pyzx),0,1,0,0.18550586700439453,1,0
101,16,127,1,Maslov et al,175110,1,86981,10.164525032043457,15006,7390
102,17,127,1,ours,0,1,0,2.476970672607422,1,0
103,17,127,1,qiskit transpile,0,1,0,0.008620500564575195,1,0
