,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
77,9,7,1,Ewout van den Berg (stim),0,0,1,0.003602266311645508,1,1
78,9,7,1,Duncan et al (pyzx),4,0,1,0.006634712219238281,3,1
79,9,7,1,Maslov et al,14,0,184,0.020023584365844727,102,98
80,10,7,1,ours,0,1,0,0.002574920654296875,1,0
81,10,7,1,ours_random,0,1,0,0.002343416213989258,1,0
82,10,7,1,ours_temp,0,1,0,0.053945064544677734,1,0
83,10,7,1,qiskit transpile,0,1,0,0.003509044647216797,1,0
84,10,7,1,Bravyi et al. (qiskit),0,1,0,0.0032939910888671875,1,0
85,10,7,1,Ewout van den Berg (stim),2,1,0,0.003686189651489258,2,0
86,10,7,1,Duncan et al (pyzx),0,1,0,0.00485682487487793,1,0
87,10,7,1,Maslov et al,14,1,177,0.018227815628051758,98,93
88,11,7,1,ours,0,1,0,0.00257110595703125,1,0
89,11,7,1,ours_random,0,1,0,0.0027115345001220703,1,0
90,11,7,1,ours_temp,0,1,0,0.05118250846862793,1,0
91,11,7,1,qiskit transpile,0,1,0,0.0035381317138671875,1,0
92,11,7,1,Bravyi et al. (qiskit),0,1,0,0.003361225128173828,1,0
93,11,7,1,Ewout van den Berg (stim),2,1,0,0.0035686492919921875,2,0
94,11,7,1,Duncan et al (pyzx),0,1,0,0.00467371940612793,1,0
95,11,7,1,Maslov et al,14,1,177,0.018427133560180664,95,90
96,12,7,1,ours,0,0,1,0.0027153491973876953,1,1
97,12,7,1,ours_random,0,0,1,0.00307464599609375,1,1
98,12,7,1,ours_temp,0,0,1,0.0570988655090332,1,1
99,12,7,1,qiskit transpile,0,0,1,0.003321409225463867,1,1
100,12,7,1,Bravyi et al. (qiskit),0,0,1,0.0034210681915283203,1,1
101,12,7,1,Ewout van den Berg (stim),0,0,1,0.003358125686645508,1,1
102,12,7,1,Duncan et al (pyzx),4,0,1,0.006189107894897461,5,1
103,12,7,1,Maslov et al,14,0,176,0.017902612686157227,95,92
104,13,7,1,ours,0,0,1,0.002761363983154297,1,1
105,13,7,1,ours_random,0,0,1,0.0030679702758789062,1,1
106,13,7,1,ours_temp,0,0,1,0.0590972900390625,1,1
107,13,7,1,qiskit transpile,0,0,1,0.0036878585815429688,1,1
108,13,7,1,Bravyi et al. (qiskit),0,0,1,0.003615856170654297,1,1
109,13,7,1,Ewout van den Berg (stim),2,0,1,0.003652811050415039,2,1
110,13,7,1,Duncan et al (pyzx),4,0,1,0.006432533264160156,5,1
111,13,7,1,Maslov et al,14,0,176,0.018059968948364258,94,90
112,14,7,1,ours,1,0,0,0.002561330795288086,1,0
113,14,7,1,ours_random,1,0,0,0.0025348663330078125,1,0
114,14,7,1,ours_temp,1,0,0,0.051686763763427734,1,0
115,14,7,1,qiskit transpile,1,0,0,0.003528594970703125,1,0
116,14,7,1,Bravyi et al. (qiskit),1,0,0,0.003231048583984375,1,0
117,14,7,1,Ewout van den Berg (stim),3,0,0,0.0035524368286132812,2,0
118,14,7,1,Duncan et al (pyzx),1,0,0,0.004790544509887695,1,0
119,14,7,1,Maslov et al,13,0,177,0.018029451370239258,97,94
120,15,7,1,ours,1,0,0,0.002663850784301758,1,0
121,15,7,1,ours_random,1,0,0,0.0024445056915283203,1,0
122,15,7,1,ours_temp,1,0,0,0.05312490463256836,1,0
123,15,7,1,qiskit transpile,1,0,0,0.0034754276275634766,1,0
124,15,7,1,Bravyi et al. (qiskit),1,0,0,0.003263235092163086,1,0
125,15,7,1,Ewout van den Berg (stim),3,0,0,0.0035581588745117188,2,0
126,15,7,1,Duncan et al (pyzx),1,0,0,0.004756450653076172,1,0
127,15,7,1,Maslov et al,13,0,177,0.0179445743560791,94,90
128,16,7,1,ours,1,0,0,0.0025539398193359375,1,0
129,16,7,1,ours_random,1,0,0,0.0027794837951660156,1,0
130,16,7,1,ours_temp,1,0,0,0.05041980743408203,1,0
131,16,7,1,qiskit transpile,1,0,0,0.0036041736602783203,1,0
132,16,7,1,Bravyi et al. (qiskit),1,0,0,0.003359079360961914,1,0
133,16,7,1,Ewout van den Berg (stim),3,0,0,0.003633260726928711,2,0
134,16,7,1,Duncan et al (pyzx),1,0,0,0.0048902034759521484,1,0
135,16,7,1,Maslov et al,13,0,177,0.018394947052001953,94,90
136,17,7,1,ours,0,1,0,0.0025815963745117188,1,0
137,17,7,1,ours_random,0,1,0,0.002569913864135742,1,0
138,17,7,1,ours_temp,0,1,0,0.05242323875427246,1,0
139,17,7,1,qiskit transpile,0,1,0,0.003389596939086914,1,0
140,17,7,1,Bravyi et al. (qiskit),0,1,0,0.0030837059020996094,1,0
141,17,7,1,Ewout van den Berg (stim),2,1,0,0.003983736038208008,2,0
142,17,7,1,Duncan et al (pyzx),0,1,0,0.00494694709777832,1,0
143,17,7,1,Maslov et al,14,1,177,0.01838517189025879,98,94
144,18,7,1,ours,1,0,0,0.002561807632446289,1,0
145,18,7,1,ours_random,1,0,0,0.0024347305297851562,1,0
146,18,7,1,ours_temp,1,0,0,0.051268815994262695,1,0
147,18,7,1,qiskit transpile,1,0,0,0.0036635398864746094,1,0
148,18,7,1,Bravyi et al. (qiskit),1,0,0,0.0032186508178710938,1,0
149,18,7,1,Ewout van den Berg (stim),3,0,0,0.0034270286560058594,2,0
150,18,7,1,Duncan et al (pyzx),1,0,0,0.004793882369995117,1,0
151,18,7,1,Maslov et al,13,0,177,0.0891563892364502,94,90
152,19,7,1,ours,1,0,0,0.002476215362548828,1,0
153,19,7,1,ours_random,1,0,0,0.0024192333221435547,1,0
154,19,7,1,ours_temp,1,0,0,0.05210471153259277,1,0
155,19,7,1,qiskit transpile,1,0,0,0.003580808639526367,1,0
156,19,7,1,Bravyi et al. (qiskit),1,0,0,0.003287792205810547,1,0
157,19,7,1,Ewout van den Berg (stim),3,0,0,0.003490924835205078,2,0
158,19,7,1,Duncan et al (pyzx),1,0,0,0.004667758941650391,1,0
159,19,7,1,Maslov et al,13,0,177,0.018217086791992188,98,94
160,0,7,21,ours,16,25,19,0.0067446231842041016,36,19
161,0,7,21,ours_random,9,14,11,0.005006074905395508,19,10
162,0,7,21,ours_temp,16,25,19,0.13763880729675293,36,19
163,0,7,21,qiskit transpile,7,6,14,0.005570411682128906,16,11
164,0,7,21,Bravyi et al. (qiskit),6,15,12,0.005736827850341797,14,8
165,0,7,21,Ewout van den Berg (stim),6,15,12,0.005928516387939453,14,8
166,0,7,21,Duncan et al (pyzx),27,10,11,0.017680883407592773,18,8
167,0,7,21,Maslov et al,11,69,192,0.023877620697021484,137,99
168,1,7,21,ours,15,17,19,0.006548881530761719,31,17
169,1,7,21,ours_random,14,18,30,0.00712132453918457,30,22
170,1,7,21,ours_temp,16,20,18,0.13777375221252441,32,17
171,1,7,21,qiskit transpile,4,9,14,0.005466938018798828,15,12
172,1,7,21,Bravyi et al. (qiskit),6,8,16,0.0060575008392333984,21,14
173,1,7,21,Ewout van den Berg (stim),6,8,18,0.006222248077392578,20,11
174,1,7,21,Duncan et al (pyzx),37,13,27,0.022273778915405273,38,16
175,1,7,21,Maslov et al,14,85,214,0.024483919143676758,150,114
176,2,7,21,ours,10,13,4,0.0042226314544677734,9,2
177,2,7,21,ours_random,12,14,7,0.004205942153930664,13,5
178,2,7,21,ours_temp,10,13,4,0.09192299842834473,9,2
179,2,7,21,qiskit transpile,9,7,5,0.004750490188598633,7,3
180,2,7,21,Bravyi et al. (qiskit),12,14,9,0.007071495056152344,16,7
181,2,7,21,Ewout van den Berg (stim),10,14,11,0.008244752883911133,16,7
182,2,7,21,Duncan et al (pyzx),15,10,6,0.015126466751098633,11,4
183,2,7,21,Maslov et al,14,32,185,0.022665739059448242,114,98
184,3,7,21,ours,18,19,20,0.009156942367553711,27,13
185,3,7,21,ours_random,19,25,15,0.0058939456939697266,21,10
186,3,7,21,ours_temp,18,19,20,0.15151453018188477,27,13
187,3,7,21,qiskit transpile,7,7,13,0.005687713623046875,20,12
188,3,7,21,Bravyi et al. (qiskit),9,11,14,0.006040334701538086,13,9
189,3,7,21,Ewout van den Berg (stim),7,12,13,0.006390810012817383,14,7
190,3,7,21,Duncan et al (pyzx),21,9,15,0.016124486923217773,22,13
191,3,7,21,Maslov et al,11,58,180,0.02358698844909668,123,98
192,4,7,21,ours,17,23,11,0.005686759948730469,25,10
193,4,7,21,ours_random,20,19,15,0.005227088928222656,24,14
194,4,7,21,ours_temp,11,17,11,0.11864709854125977,17,9
195,4,7,21,qiskit transpile,7,6,14,0.0059168338775634766,18,13
196,4,7,21,Bravyi et al. (qiskit),9,12,18,0.0065076351165771484,27,15
197,4,7,21,Ewout van den Berg (stim),9,12,18,0.006609201431274414,27,15
198,4,7,21,Duncan et al (pyzx),29,12,19,0.01849651336669922,35,16
199,4,7,21,Maslov et al,17,49,201,0.024141550064086914,144,114
200,5,7,21,ours,15,21,18,0.006256580352783203,32,16
201,5,7,21,ours_random,12,18,26,0.006940364837646484,35,25
202,5,7,21,ours_temp,10,17,20,0.1275320053100586,27,18
203,5,7,21,qiskit transpile,8,4,18,0.005536317825317383,19,17
204,5,7,21,Bravyi et al. (qiskit),8,6,26,0.0064239501953125,26,18
205,5,7,21,Ewout van den Berg (stim),4,11,32,0.006679534912109375,30,22
206,5,7,21,Duncan et al (pyzx),26,4,24,0.017121076583862305,26,19
207,5,7,21,Maslov et al,14,20,188,0.020241975784301758,121,106
208,6,7,21,ours,18,26,23,0.006723880767822266,38,21
209,6,7,21,ours_random,13,16,24,0.006114482879638672,30,18
210,6,7,21,ours_temp,18,26,23,0.14441943168640137,38,21
211,6,7,21,qiskit transpile,3,8,22,0.005924701690673828,20,16
212,6,7,21,Bravyi et al. (qiskit),7,21,26,0.0064084529876708984,30,20
213,6,7,21,Ewout van den Berg (stim),5,8,27,0.006962299346923828,24,19
214,6,7,21,Duncan et al (pyzx),43,4,38,0.022197961807250977,51,33
215,6,7,21,Maslov et al,13,39,177,0.020942211151123047,120,98
216,7,7,21,ours,11,15,11,0.0057218074798583984,19,8
217,7,7,21,ours_random,20,20,28,0.006270170211791992,33,21
218,7,7,21,ours_temp,15,21,15,0.13155770301818848,26,11
219,7,7,21,qiskit transpile,10,5,12,0.005520343780517578,11,7
220,7,7,21,Bravyi et al. (qiskit),8,5,10,0.0053789615631103516,11,8
221,7,7,21,Ewout van den Berg (stim),12,5,36,0.006705760955810547,33,26
222,7,7,21,Duncan et al (pyzx),22,5,9,0.014499425888061523,15,7
223,7,7,21,Maslov et al,10,18,194,0.020380496978759766,112,104
224,8,7,21,ours,20,23,17,0.0064373016357421875,31,14
225,8,7,21,ours_random,17,17,16,0.006179332733154297,28,13
