,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
77,9,27,1,Ewout van den Berg (stim),3,0,0,0.0027441978454589844,2,0
78,9,27,1,Duncan et al (pyzx),1,0,0,0.004351615905761719,1,0
79,9,27,1,Maslov et al,53,0,1781,0.10648655891418457,139,137
80,10,27,1,ours,0,0,1,0.09408116340637207,1,1
81,10,27,1,ours_random,0,0,1,0.09554791450500488,1,1
82,10,27,1,ours_temp,0,0,1,1.9137351512908936,1,1
83,10,27,1,qiskit transpile,0,0,1,0.0024271011352539062,1,1
84,10,27,1,Bravyi et al. (qiskit),0,0,1,0.0026197433471679688,1,1
85,10,27,1,Ewout van den Berg (stim),2,0,1,0.0027866363525390625,2,1
86,10,27,1,Duncan et al (pyzx),4,0,1,0.005156993865966797,5,1
87,10,27,1,Maslov et al,54,0,1780,0.10704255104064941,139,137
88,11,27,1,ours,0,1,0,0.0927269458770752,1,0
89,11,27,1,ours_random,0,1,0,0.09451413154602051,1,0
90,11,27,1,ours_temp,0,1,0,1.8955771923065186,1,0
91,11,27,1,qiskit transpile,0,1,0,0.0024144649505615234,1,0
92,11,27,1,Bravyi et al. (qiskit),0,1,0,0.0024230480194091797,1,0
93,11,27,1,Ewout van den Berg (stim),2,1,0,0.0028269290924072266,2,0
94,11,27,1,Duncan et al (pyzx),0,1,0,0.004504680633544922,1,0
95,11,27,1,Maslov et al,54,1,1781,0.18684911727905273,140,137
96,12,27,1,ours,0,1,0,0.09208512306213379,1,0
97,12,27,1,ours_random,0,1,0,0.09465384483337402,1,0
98,12,27,1,ours_temp,0,1,0,1.903050422668457,1,0
99,12,27,1,qiskit transpile,0,1,0,0.002449512481689453,1,0
100,12,27,1,Bravyi et al. (qiskit),0,1,0,0.0026106834411621094,1,0
101,12,27,1,Ewout van den Berg (stim),2,1,0,0.0026848316192626953,2,0
102,12,27,1,Duncan et al (pyzx),0,1,0,0.004495382308959961,1,0
103,12,27,1,Maslov et al,54,1,1781,0.10883021354675293,140,137
104,13,27,1,ours,1,0,0,0.09311246871948242,1,0
105,13,27,1,ours_random,1,0,0,0.0949101448059082,1,0
106,13,27,1,ours_temp,1,0,0,2.0061957836151123,1,0
107,13,27,1,qiskit transpile,1,0,0,0.002476215362548828,1,0
108,13,27,1,Bravyi et al. (qiskit),1,0,0,0.00246429443359375,1,0
109,13,27,1,Ewout van den Berg (stim),1,0,0,0.0026788711547851562,1,0
110,13,27,1,Duncan et al (pyzx),1,0,0,0.0044100284576416016,1,0
111,13,27,1,Maslov et al,53,0,1781,0.10732603073120117,139,137
112,14,27,1,ours,0,0,1,0.09410238265991211,1,1
113,14,27,1,ours_random,0,0,1,0.09456706047058105,1,1
114,14,27,1,ours_temp,0,0,1,1.9079761505126953,1,1
115,14,27,1,qiskit transpile,0,0,1,0.002476930618286133,1,1
116,14,27,1,Bravyi et al. (qiskit),0,0,1,0.0025377273559570312,1,1
117,14,27,1,Ewout van den Berg (stim),2,0,1,0.0027239322662353516,2,1
118,14,27,1,Duncan et al (pyzx),4,0,1,0.005040407180786133,3,1
119,14,27,1,Maslov et al,54,0,1795,0.11642575263977051,154,152
120,15,27,1,ours,1,0,0,0.09325790405273438,1,0
121,15,27,1,ours_random,1,0,0,0.09738683700561523,1,0
122,15,27,1,ours_temp,1,0,0,1.8918266296386719,1,0
123,15,27,1,qiskit transpile,1,0,0,0.002448558807373047,1,0
124,15,27,1,Bravyi et al. (qiskit),1,0,0,0.0023953914642333984,1,0
125,15,27,1,Ewout van den Berg (stim),3,0,0,0.002742290496826172,2,0
126,15,27,1,Duncan et al (pyzx),1,0,0,0.00433659553527832,1,0
127,15,27,1,Maslov et al,53,0,1781,0.1078333854675293,139,137
128,16,27,1,ours,0,1,0,0.09271955490112305,1,0
129,16,27,1,ours_random,0,1,0,0.09442806243896484,1,0
130,16,27,1,ours_temp,0,1,0,1.8991708755493164,1,0
131,16,27,1,qiskit transpile,0,1,0,0.0024268627166748047,1,0
132,16,27,1,Bravyi et al. (qiskit),0,1,0,0.002422809600830078,1,0
133,16,27,1,Ewout van den Berg (stim),2,1,0,0.0027878284454345703,2,0
134,16,27,1,Duncan et al (pyzx),0,1,0,0.004350423812866211,1,0
135,16,27,1,Maslov et al,54,1,1781,0.18187189102172852,140,137
136,17,27,1,ours,0,1,0,0.09239912033081055,1,0
137,17,27,1,ours_random,0,1,0,0.09401845932006836,1,0
138,17,27,1,ours_temp,0,1,0,1.893061637878418,1,0
139,17,27,1,qiskit transpile,0,1,0,0.0024042129516601562,1,0
140,17,27,1,Bravyi et al. (qiskit),0,1,0,0.002487659454345703,1,0
141,17,27,1,Ewout van den Berg (stim),2,1,0,0.0028247833251953125,2,0
142,17,27,1,Duncan et al (pyzx),0,1,0,0.004453897476196289,1,0
143,17,27,1,Maslov et al,54,1,1781,0.10618829727172852,140,137
144,18,27,1,ours,0,0,1,0.09508156776428223,1,1
145,18,27,1,ours_random,0,0,1,0.09763836860656738,1,1
146,18,27,1,ours_temp,0,0,1,1.9088733196258545,1,1
147,18,27,1,qiskit transpile,0,0,1,0.0024101734161376953,1,1
148,18,27,1,Bravyi et al. (qiskit),0,0,1,0.0025587081909179688,1,1
149,18,27,1,Ewout van den Berg (stim),2,0,1,0.002656698226928711,2,1
150,18,27,1,Duncan et al (pyzx),4,0,1,0.005106925964355469,5,1
151,18,27,1,Maslov et al,54,0,1780,0.1060490608215332,139,137
152,19,27,1,ours,1,0,0,0.09845781326293945,1,0
