,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
0,0,5,1,ours,1,0,0,0.0015478134155273438,1,0.0
1,0,5,1,ours_random,1,0,0,0.0015926361083984375,1,0.0
2,0,5,1,ours_temp,1,0,0,0.032679080963134766,1,0.0
3,0,5,1,qiskit transpile,1,0,0,0.0022521018981933594,1,
4,0,5,1,Bravyi et al. (qiskit),1,0,0,0.0020294189453125,1,0.0
5,0,5,1,Ewout van den Berg (stim),3,0,0,0.002217531204223633,2,0.0
6,0,5,1,Duncan et al (pyzx),1,0,0,0.0032324790954589844,1,0.0
7,0,5,1,Maslov et al,9,0,54,0.008742809295654297,29,27.0
8,1,5,1,ours,0,1,0,0.0015232563018798828,1,0.0
9,1,5,1,ours_random,0,1,0,0.0014770030975341797,1,0.0
10,1,5,1,ours_temp,0,1,0,0.03254413604736328,1,0.0
11,1,5,1,qiskit transpile,0,1,0,0.0021209716796875,1,
12,1,5,1,Bravyi et al. (qiskit),0,1,0,0.002038717269897461,1,0.0
13,1,5,1,Ewout van den Berg (stim),2,1,0,0.0022933483123779297,2,0.0
14,1,5,1,Duncan et al (pyzx),0,1,0,0.0031251907348632812,1,0.0
15,1,5,1,Maslov et al,10,1,54,0.009101629257202148,30,27.0
16,2,5,1,ours,1,0,0,0.0015404224395751953,1,0.0
17,2,5,1,ours_random,1,0,0,0.0015573501586914062,1,0.0
18,2,5,1,ours_temp,1,0,0,0.032592058181762695,1,0.0
19,2,5,1,qiskit transpile,1,0,0,0.002121448516845703,1,
20,2,5,1,Bravyi et al. (qiskit),1,0,0,0.0020437240600585938,1,0.0
21,2,5,1,Ewout van den Berg (stim),3,0,0,0.0022819042205810547,2,0.0
22,2,5,1,Duncan et al (pyzx),1,0,0,0.003056049346923828,1,0.0
23,2,5,1,Maslov et al,9,0,54,0.009564638137817383,29,27.0
24,3,5,1,ours,0,1,0,0.0015361309051513672,1,0.0
25,3,5,1,ours_random,0,1,0,0.001569509506225586,1,0.0
26,3,5,1,ours_temp,0,1,0,0.03263235092163086,1,0.0
27,3,5,1,qiskit transpile,0,1,0,0.002156972885131836,1,
28,3,5,1,Bravyi et al. (qiskit),0,1,0,0.002410888671875,1,0.0
29,3,5,1,Ewout van den Berg (stim),2,1,0,0.002313852310180664,2,0.0
30,3,5,1,Duncan et al (pyzx),0,1,0,0.0031037330627441406,1,0.0
31,3,5,1,Maslov et al,10,1,54,0.008949995040893555,30,27.0
32,4,5,1,ours,0,1,0,0.0015387535095214844,1,0.0
33,4,5,1,ours_random,0,1,0,0.001483917236328125,1,0.0
34,4,5,1,ours_temp,0,1,0,0.03232526779174805,1,0.0
35,4,5,1,qiskit transpile,0,1,0,0.002118825912475586,1,
36,4,5,1,Bravyi et al. (qiskit),0,1,0,0.002020597457885742,1,0.0
37,4,5,1,Ewout van den Berg (stim),2,1,0,0.0023555755615234375,2,0.0
38,4,5,1,Duncan et al (pyzx),0,1,0,0.0031147003173828125,1,0.0
39,4,5,1,Maslov et al,10,1,54,0.00899958610534668,30,27.0
40,5,5,1,ours,0,0,1,0.0018308162689208984,1,1.0
41,5,5,1,ours_random,0,0,1,0.00193023681640625,1,1.0
42,5,5,1,ours_temp,0,0,1,0.03877615928649902,1,1.0
43,5,5,1,qiskit transpile,0,0,1,0.002228260040283203,1,
44,5,5,1,Bravyi et al. (qiskit),0,0,1,0.0022025108337402344,1,1.0
45,5,5,1,Ewout van den Berg (stim),0,0,1,0.0023441314697265625,1,1.0
46,5,5,1,Duncan et al (pyzx),4,0,1,0.004183769226074219,5,1.0
47,5,5,1,Maslov et al,10,0,53,0.008504390716552734,29,27.0
48,6,5,1,ours,1,0,0,0.0014858245849609375,1,0.0
49,6,5,1,ours_random,1,0,0,0.00141143798828125,1,0.0
50,6,5,1,ours_temp,1,0,0,0.032201528549194336,1,0.0
51,6,5,1,qiskit transpile,1,0,0,0.0021200180053710938,1,
