,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
73,9,5,1,ours_random,1,0,0,0.0015819072723388672,1,0.0
74,9,5,1,ours_temp,1,0,0,0.03165388107299805,1,0.0
75,9,5,1,qiskit transpile,1,0,0,0.0031418800354003906,1,
76,9,5,1,Bravyi et al. (qiskit),1,0,0,0.0031218528747558594,1,0.0
77,9,5,1,Ewout van den Berg (stim),3,0,0,0.0033385753631591797,2,0.0
78,9,5,1,Duncan et al (pyzx),1,0,0,0.004018306732177734,1,0.0
79,9,5,1,Maslov et al,9,0,78,0.012061595916748047,66,63.0
80,10,5,1,ours,0,1,0,0.0015070438385009766,1,0.0
81,10,5,1,ours_random,0,1,0,0.0015826225280761719,1,0.0
82,10,5,1,ours_temp,0,1,0,0.03144526481628418,1,0.0
83,10,5,1,qiskit transpile,0,1,0,0.003312826156616211,1,
84,10,5,1,Bravyi et al. (qiskit),0,1,0,0.0031783580780029297,1,0.0
85,10,5,1,Ewout van den Berg (stim),0,1,0,0.0033364295959472656,1,0.0
86,10,5,1,Duncan et al (pyzx),0,1,0,0.0040645599365234375,1,0.0
87,10,5,1,Maslov et al,10,1,78,0.012525796890258789,66,63.0
88,11,5,1,ours,0,0,1,0.0018219947814941406,1,1.0
89,11,5,1,ours_random,0,0,1,0.002063274383544922,1,1.0
90,11,5,1,ours_temp,0,0,1,0.038785696029663086,1,1.0
91,11,5,1,qiskit transpile,0,0,1,0.0033559799194335938,1,
92,11,5,1,Bravyi et al. (qiskit),0,0,1,0.0033195018768310547,1,1.0
93,11,5,1,Ewout van den Berg (stim),0,0,1,0.0033440589904785156,1,1.0
94,11,5,1,Duncan et al (pyzx),4,0,1,0.005352020263671875,3,1.0
95,11,5,1,Maslov et al,10,0,85,0.013315677642822266,74,71.0
96,12,5,1,ours,0,1,0,0.0015435218811035156,1,0.0
97,12,5,1,ours_random,0,1,0,0.0014994144439697266,1,0.0
98,12,5,1,ours_temp,0,1,0,0.03145456314086914,1,0.0
99,12,5,1,qiskit transpile,0,1,0,0.003342151641845703,1,
100,12,5,1,Bravyi et al. (qiskit),0,1,0,0.003083944320678711,1,0.0
