n_rep,num_qubits,n_gadgets,method,cx,u3,depth,2q_depth,time
0,5,1,paulihedral,0,1,1,0,0.035841
1,5,1,paulihedral,2,1,3,2,0.038855
3,5,1,paulihedral,2,5,5,2,0.036588
2,5,1,paulihedral,2,4,5,2,0.039653
4,5,1,paulihedral,2,2,3,2,0.037431
6,5,1,paulihedral,2,1,3,2,0.035336
5,5,1,paulihedral,2,1,3,2,0.036023
7,5,1,paulihedral,2,4,5,2,0.037833
8,5,1,paulihedral,4,6,7,4,0.041359
9,5,1,paulihedral,4,6,7,4,0.040125
10,5,1,paulihedral,2,6,5,2,0.039471
11,5,1,paulihedral,2,3,5,2,0.03916
12,5,1,paulihedral,2,3,5,2,0.036096
14,5,1,paulihedral,2,5,5,2,0.033394
16,5,1,paulihedral,0,1,1,0,0.032757
13,5,1,paulihedral,0,1,1,0,0.036299
15,5,1,paulihedral,0,1,1,0,0.043525
18,5,1,paulihedral,4,3,6,4,0.037037
19,5,1,paulihedral,2,6,5,2,0.03995
17,5,1,paulihedral,2,5,5,2,0.051644
7,5,21,paulihedral,42,52,61,36,0.072432
0,5,21,paulihedral,42,48,65,40,0.091912
5,5,21,paulihedral,36,44,57,34,0.088547
10,5,21,paulihedral,36,46,61,34,0.087886
2,5,21,paulihedral,36,45,54,32,0.096588
11,5,21,paulihedral,38,47,60,34,0.089196
12,5,21,paulihedral,40,46,67,40,0.092785
6,5,21,paulihedral,40,52,63,36,0.100973
9,5,21,paulihedral,36,43,61,36,0.102529
1,5,21,paulihedral,46,53,73,44,0.113409
8,5,21,paulihedral,36,44,53,30,0.110258
15,5,41,paulihedral,84,95,124,76,0.142511
10,5,41,paulihedral,88,92,131,81,0.150219
3,5,21,paulihedral,40,49,64,37,0.118079
15,5,21,paulihedral,42,50,69,41,0.110875
19,5,21,paulihedral,34,42,50,29,0.107293
16,5,21,paulihedral,40,53,63,35,0.117424
14,5,21,paulihedral,42,50,62,37,0.120751
17,5,21,paulihedral,46,53,67,41,0.12269
18,5,21,paulihedral,52,49,73,49,0.12432
13,5,21,paulihedral,50,56,72,43,0.130161
8,5,41,paulihedral,66,75,96,57,0.132755
11,5,41,paulihedral,68,80,109,64,0.133973
14,5,41,paulihedral,64,75,100,58,0.134838
5,5,41,paulihedral,80,90,120,73,0.144747
7,5,41,paulihedral,64,78,92,52,0.141835
4,5,21,paulihedral,38,54,60,32,0.118382
1,5,41,paulihedral,86,101,141,83,0.161982
3,5,41,paulihedral,78,82,123,74,0.165134
0,5,41,paulihedral,86,111,133,74,0.174109
13,5,41,paulihedral,78,93,121,70,0.163234
19,5,41,paulihedral,74,82,113,68,0.173774
4,5,41,paulihedral,80,99,127,72,0.185522
16,5,41,paulihedral,90,102,133,81,0.179682
6,5,41,paulihedral,86,95,130,79,0.189413
12,5,41,paulihedral,80,96,127,74,0.184776
2,5,41,paulihedral,94,114,145,86,0.19965
