n_rep,num_qubits,n_gadgets,method,cx,u3,depth,2q_depth,time
12,5,1,pauliopt_steiner_nc,6,1,7,6,0.003562
12,5,1,pauliopt_ucc,12,1,12,12,0.007798
12,5,1,pauliopt_divide_conquer,2,1,3,2,0.006424
12,5,1,naive,6,1,7,6,0.003907
13,5,1,tket_uccs_set,6,9,7,4,0.015383
13,5,1,paulihedral,6,7,8,5,0.006712
13,5,1,tket_uccs_pair,6,9,7,4,0.015485
13,5,1,pauliopt_steiner_nc,6,7,9,6,0.00498
13,5,1,pauliopt_divide_conquer,18,5,17,16,0.009142
13,5,1,pauliopt_ucc,25,12,24,20,0.013599
13,5,1,pauliopt_steiner_clifford,6,8,10,6,0.011332
13,5,1,naive,6,7,9,6,0.006205
14,5,1,tket_uccs_set,4,7,7,4,0.014418
14,5,1,paulihedral,4,3,7,4,0.003631
14,5,1,tket_uccs_pair,4,7,7,4,0.016509
14,5,1,pauliopt_steiner_nc,4,3,7,4,0.003756
14,5,1,pauliopt_ucc,4,6,9,4,0.007122
14,5,1,pauliopt_steiner_clifford,4,3,7,4,0.006571
14,5,1,pauliopt_divide_conquer,25,13,33,25,0.012281
14,5,1,naive,4,3,7,4,0.004127
15,5,1,tket_uccs_pair,6,8,7,4,0.013972
15,5,1,paulihedral,6,5,9,6,0.007145
15,5,1,tket_uccs_set,6,8,7,4,0.013515
15,5,1,pauliopt_steiner_nc,6,5,9,6,0.068378
15,5,1,pauliopt_divide_conquer,6,5,7,6,0.01356
15,5,1,pauliopt_steiner_clifford,6,6,10,6,0.007026
15,5,1,pauliopt_ucc,11,14,18,11,0.010889
15,5,1,naive,6,5,9,6,0.006472
16,5,1,tket_uccs_set,4,9,7,4,0.014314
16,5,1,paulihedral,4,7,7,4,0.003611
16,5,1,tket_uccs_pair,4,9,7,4,0.014546
16,5,1,pauliopt_steiner_nc,4,7,7,4,0.004402
16,5,1,pauliopt_ucc,4,8,9,4,0.011042
16,5,1,pauliopt_divide_conquer,4,4,6,4,0.009376
16,5,1,pauliopt_steiner_clifford,4,8,8,4,0.010668
16,5,1,naive,4,7,7,4,0.005803
17,5,1,tket_uccs_set,2,8,5,2,0.014037
17,5,1,paulihedral,2,5,5,2,0.003359
17,5,1,tket_uccs_pair,2,8,5,2,0.01401
17,5,1,pauliopt_steiner_nc,2,5,5,2,0.004057
17,5,1,pauliopt_ucc,2,4,5,2,0.007744
17,5,1,pauliopt_divide_conquer,6,9,11,6,0.009633
17,5,1,pauliopt_steiner_clifford,2,5,5,2,0.006277
17,5,1,naive,2,5,5,2,0.006897
18,5,1,tket_uccs_set,2,8,5,2,0.01314
18,5,1,tket_uccs_pair,2,8,5,2,0.012765
18,5,1,paulihedral,5,5,8,5,0.00527
18,5,1,pauliopt_steiner_nc,6,5,9,6,0.004608
18,5,1,pauliopt_ucc,8,6,11,8,0.010134
18,5,1,pauliopt_divide_conquer,13,12,19,13,0.011939
18,5,1,pauliopt_steiner_clifford,6,2,8,6,0.006808
18,5,1,naive,6,5,9,6,0.004551
19,5,1,tket_uccs_set,4,7,6,4,0.013026
19,5,1,paulihedral,7,3,8,7,0.006908
19,5,1,tket_uccs_pair,4,7,6,4,0.012522
19,5,1,pauliopt_steiner_nc,8,3,11,8,0.004626
19,5,1,pauliopt_ucc,10,3,9,8,0.009226
19,5,1,pauliopt_divide_conquer,8,9,12,8,0.009747
19,5,1,pauliopt_steiner_clifford,0,1,1,0,0.006762
19,5,1,naive,8,3,9,8,0.006744
0,5,21,paulihedral,108,75,134,95,0.025502
0,5,21,pauliopt_steiner_nc,92,60,114,84,0.028448
0,5,21,tket_uccs_set,111,55,121,97,0.113879
0,5,21,tket_uccs_pair,115,63,136,104,0.117018
0,5,21,pauliopt_steiner_clifford,55,45,63,50,0.024486
0,5,21,pauliopt_ucc,119,80,142,109,0.051802
0,5,21,naive,128,70,155,123,0.043402
0,5,21,pauliopt_divide_conquer,87,85,118,79,0.120423
1,5,21,paulihedral,79,55,96,69,0.023687
1,5,21,tket_uccs_set,106,50,116,92,0.122121
1,5,21,pauliopt_steiner_nc,76,51,98,76,0.020432
1,5,21,tket_uccs_pair,106,57,118,92,0.135071
1,5,21,pauliopt_ucc,128,77,140,116,0.056383
1,5,21,pauliopt_steiner_clifford,53,44,58,44,0.039087
1,5,21,naive,102,60,124,99,0.023074
1,5,21,pauliopt_divide_conquer,89,85,117,81,0.096425
2,5,21,paulihedral,64,56,84,56,0.021451
2,5,21,pauliopt_steiner_nc,84,50,109,80,0.025626
2,5,21,tket_uccs_set,91,50,98,77,0.110276
2,5,21,tket_uccs_pair,77,52,89,65,0.105167
2,5,21,pauliopt_ucc,125,71,135,115,0.052677
2,5,21,pauliopt_steiner_clifford,50,48,61,46,0.030347
2,5,21,naive,114,58,135,105,0.036546
2,5,21,pauliopt_divide_conquer,65,78,103,62,0.092547
3,5,21,paulihedral,98,73,133,92,0.024847
3,5,21,tket_uccs_set,143,64,155,121,0.118595
3,5,21,pauliopt_steiner_nc,110,62,139,105,0.030104
3,5,21,tket_uccs_pair,114,67,131,97,0.110958
3,5,21,pauliopt_ucc,134,83,145,118,0.062667
3,5,21,pauliopt_steiner_clifford,71,55,75,55,0.037584
3,5,21,naive,134,75,157,127,0.030287
3,5,21,pauliopt_divide_conquer,90,97,126,82,0.108205
4,5,21,paulihedral,92,72,112,78,0.024489
4,5,21,pauliopt_steiner_nc,86,58,117,86,0.027512
4,5,21,tket_uccs_set,108,54,126,98,0.115689
4,5,21,tket_uccs_pair,102,62,122,91,0.105287
4,5,21,pauliopt_ucc,154,80,166,138,0.058862
4,5,21,pauliopt_steiner_clifford,48,55,59,43,0.028326
4,5,21,naive,128,68,156,124,0.035399
4,5,21,pauliopt_divide_conquer,111,110,147,103,0.111952
5,5,21,paulihedral,70,57,91,61,0.021903
5,5,21,tket_uccs_set,88,47,101,78,0.094397
5,5,21,pauliopt_steiner_nc,64,49,82,60,0.02031
5,5,21,tket_uccs_pair,90,54,109,81,0.107709
5,5,21,pauliopt_ucc,121,72,134,110,0.051018
5,5,21,pauliopt_steiner_clifford,49,39,52,38,0.028675
5,5,21,naive,88,53,110,84,0.027146
5,5,21,pauliopt_divide_conquer,82,83,109,72,0.096234
6,5,21,paulihedral,64,54,86,55,0.023886
6,5,21,tket_uccs_set,93,46,106,85,0.136319
6,5,21,tket_uccs_pair,75,53,86,62,0.130553
6,5,21,pauliopt_steiner_nc,82,50,98,72,0.023089
6,5,21,pauliopt_ucc,118,70,136,110,0.048122
6,5,21,pauliopt_steiner_clifford,37,38,44,31,0.020837
6,5,21,naive,110,56,133,108,0.027518
6,5,21,pauliopt_divide_conquer,59,64,85,53,0.08486
7,5,21,paulihedral,89,71,111,74,0.025561
7,5,21,pauliopt_steiner_nc,100,68,128,98,0.031049
7,5,21,tket_uccs_set,114,58,126,95,0.112824
7,5,21,tket_uccs_pair,107,67,115,84,0.114884
7,5,21,pauliopt_ucc,121,74,135,108,0.052861
7,5,21,pauliopt_steiner_clifford,55,54,63,46,0.031414
7,5,21,naive,126,74,152,122,0.034753
7,5,21,pauliopt_divide_conquer,106,94,140,99,0.111447
8,5,21,tket_uccs_set,104,55,116,89,0.09641
8,5,21,paulihedral,86,73,109,76,0.026076
8,5,21,pauliopt_steiner_nc,94,66,120,88,0.027137
