n_rep,num_qubits,n_gadgets,method,cx,u3,depth,2q_depth,time
12,7,1,tket_uccs_set,4,11,7,4,0.02441
12,7,1,paulihedral,2,6,5,2,0.00659
12,7,1,tket_uccs_pair,4,11,7,4,0.025243
12,7,1,pauliopt_steiner_nc,4,7,7,4,0.008201
12,7,1,pauliopt_ucc,4,8,9,4,0.015184
12,7,1,pauliopt_divide_conquer,4,4,6,4,0.020488
12,7,1,pauliopt_steiner_clifford,4,8,8,4,0.01292
12,7,1,naive,4,7,7,4,0.00862
13,7,1,tket_uccs_pair,10,12,9,6,0.034481
13,7,1,tket_uccs_set,10,12,9,6,0.046987
13,7,1,paulihedral,22,9,24,22,0.009649
13,7,1,pauliopt_steiner_nc,10,9,11,10,0.009629
13,7,1,pauliopt_ucc,12,18,19,10,0.01894
13,7,1,pauliopt_divide_conquer,10,6,12,10,0.019065
13,7,1,pauliopt_steiner_clifford,10,13,15,10,0.015998
13,7,1,naive,10,9,13,10,0.010987
14,7,1,tket_uccs_set,0,7,1,0,0.024327
14,7,1,tket_uccs_pair,0,7,1,0,0.021725
14,7,1,paulihedral,0,1,1,0,0.004231
14,7,1,pauliopt_steiner_nc,0,1,1,0,0.004841
14,7,1,pauliopt_ucc,0,1,1,0,0.012867
14,7,1,pauliopt_divide_conquer,0,1,1,0,0.012575
14,7,1,pauliopt_steiner_clifford,0,1,1,0,0.011024
14,7,1,naive,0,1,1,0,0.005618
15,7,1,tket_uccs_set,4,10,7,4,0.026088
15,7,1,tket_uccs_pair,4,10,7,4,0.037859
15,7,1,paulihedral,2,4,5,2,0.008093
15,7,1,pauliopt_steiner_nc,4,5,7,4,0.006071
15,7,1,pauliopt_ucc,4,4,7,4,0.013213
15,7,1,pauliopt_divide_conquer,4,4,8,4,0.016925
15,7,1,pauliopt_steiner_clifford,4,6,8,4,0.012773
15,7,1,naive,4,5,7,4,0.012968
16,7,1,paulihedral,2,2,3,2,0.013372
16,7,1,tket_uccs_set,4,9,7,4,0.035096
16,7,1,tket_uccs_pair,4,9,7,4,0.025294
16,7,1,pauliopt_steiner_nc,4,3,5,4,0.010413
16,7,1,pauliopt_ucc,4,3,7,4,0.013687
16,7,1,pauliopt_steiner_clifford,4,4,6,4,0.02026
16,7,1,pauliopt_divide_conquer,5,6,7,5,0.028553
16,7,1,naive,4,3,7,4,0.012266
17,7,1,tket_uccs_set,4,11,7,4,0.021815
17,7,1,paulihedral,2,6,5,2,0.005912
17,7,1,tket_uccs_pair,4,11,7,4,0.029729
17,7,1,pauliopt_steiner_nc,4,7,7,4,0.008326
17,7,1,pauliopt_ucc,4,9,9,4,0.015927
17,7,1,pauliopt_divide_conquer,4,5,7,4,0.017634
17,7,1,naive,4,7,7,4,0.006927
17,7,1,pauliopt_steiner_clifford,4,8,8,4,0.014398
18,7,1,tket_uccs_set,4,11,7,4,0.026865
18,7,1,tket_uccs_pair,4,11,7,4,0.026597
18,7,1,paulihedral,2,6,5,2,0.007468
18,7,1,pauliopt_steiner_nc,4,7,7,4,0.008276
18,7,1,pauliopt_ucc,4,5,7,4,0.017851
18,7,1,pauliopt_divide_conquer,4,4,6,4,0.01713
18,7,1,naive,4,7,7,4,0.012268
18,7,1,pauliopt_steiner_clifford,4,7,7,4,0.017889
19,7,1,tket_uccs_set,8,11,9,6,0.029336
19,7,1,tket_uccs_pair,8,11,9,6,0.030481
19,7,1,paulihedral,12,7,14,12,0.006877
19,7,1,pauliopt_steiner_nc,8,7,9,8,0.009285
19,7,1,pauliopt_ucc,12,18,19,11,0.022519
19,7,1,pauliopt_divide_conquer,17,13,24,17,0.019275
19,7,1,pauliopt_steiner_clifford,8,10,12,8,0.015036
19,7,1,naive,8,7,11,8,0.007409
0,7,21,paulihedral,176,75,194,167,0.075266
0,7,21,tket_uccs_set,96,79,99,72,0.216761
0,7,21,pauliopt_steiner_nc,96,79,125,94,0.042528
0,7,21,tket_uccs_pair,94,90,103,71,0.259732
0,7,21,pauliopt_ucc,99,89,97,69,0.102449
0,7,21,pauliopt_steiner_clifford,86,67,77,60,0.060166
0,7,21,naive,106,83,125,94,0.061484
1,7,21,pauliopt_steiner_nc,92,79,118,85,0.047261
1,7,21,paulihedral,182,77,209,180,0.107716
1,7,21,pauliopt_steiner_clifford,91,70,84,63,0.050957
1,7,21,pauliopt_ucc,113,103,106,77,0.1472
0,7,21,pauliopt_divide_conquer,134,124,150,105,0.432513
1,7,21,tket_uccs_pair,88,92,93,62,0.322182
1,7,21,tket_uccs_set,98,84,90,67,0.368727
1,7,21,pauliopt_divide_conquer,117,118,137,93,0.336939
1,7,21,naive,106,83,139,106,0.10814
2,7,21,tket_uccs_set,96,80,105,77,0.168653
2,7,21,tket_uccs_pair,106,90,110,83,0.186057
2,7,21,paulihedral,192,88,217,185,0.049962
2,7,21,pauliopt_steiner_nc,106,84,137,102,0.04079
2,7,21,pauliopt_ucc,116,99,115,84,0.160859
2,7,21,pauliopt_steiner_clifford,82,69,70,54,0.050098
2,7,21,pauliopt_divide_conquer,151,140,166,117,0.283589
2,7,21,naive,120,88,137,103,0.086263
3,7,21,tket_uccs_set,70,67,81,55,0.130082
3,7,21,tket_uccs_pair,70,77,79,53,0.159389
3,7,21,paulihedral,108,63,128,102,0.03512
3,7,21,pauliopt_steiner_nc,82,67,106,78,0.030888
3,7,21,pauliopt_ucc,100,88,91,65,0.087293
3,7,21,pauliopt_steiner_clifford,67,62,60,44,0.036537
3,7,21,naive,88,72,106,79,0.064033
3,7,21,pauliopt_divide_conquer,103,99,119,81,0.274036
4,7,21,tket_uccs_set,97,82,97,68,0.253953
4,7,21,paulihedral,162,85,178,149,0.047678
4,7,21,tket_uccs_pair,96,101,113,73,0.273071
4,7,21,pauliopt_steiner_nc,116,96,154,114,0.053573
4,7,21,pauliopt_steiner_clifford,80,62,69,52,0.058472
4,7,21,naive,124,101,149,112,0.058178
4,7,21,pauliopt_ucc,95,95,95,67,0.187406
5,7,21,paulihedral,98,54,117,96,0.052035
5,7,21,pauliopt_steiner_nc,74,60,92,68,0.046066
5,7,21,tket_uccs_set,74,56,82,63,0.201496
5,7,21,tket_uccs_pair,76,62,83,61,0.213736
5,7,21,pauliopt_ucc,97,83,96,68,0.112329
4,7,21,pauliopt_divide_conquer,135,123,156,109,0.412662
5,7,21,naive,76,62,92,68,0.039785
5,7,21,pauliopt_steiner_clifford,80,69,73,57,0.130397
5,7,21,pauliopt_divide_conquer,94,90,121,80,0.304054
6,7,21,paulihedral,202,97,223,191,0.09301
6,7,21,tket_uccs_set,114,87,127,89,0.244547
6,7,21,pauliopt_steiner_nc,124,94,160,121,0.09213
6,7,21,tket_uccs_pair,110,110,116,75,0.260786
6,7,21,pauliopt_ucc,111,106,113,85,0.130842
6,7,21,pauliopt_steiner_clifford,90,71,84,65,0.048126
6,7,21,naive,140,100,168,129,0.091284
6,7,21,pauliopt_divide_conquer,139,114,158,111,0.313872
7,7,21,tket_uccs_set,111,88,123,85,0.222578
7,7,21,paulihedral,168,81,195,163,0.084835
7,7,21,tket_uccs_pair,106,106,117,77,0.222421
7,7,21,pauliopt_steiner_nc,122,96,161,121,0.058685
7,7,21,pauliopt_ucc,110,96,109,81,0.116438
7,7,21,pauliopt_steiner_clifford,93,79,89,67,0.088056
7,7,21,naive,128,98,154,118,0.085061
7,7,21,pauliopt_divide_conquer,130,130,148,100,0.312651
8,7,21,tket_uccs_set,94,81,119,81,0.230794
8,7,21,tket_uccs_pair,88,93,94,60,0.239539
8,7,21,paulihedral,180,78,202,173,0.041228
8,7,21,pauliopt_steiner_nc,96,78,126,93,0.03819
8,7,21,pauliopt_ucc,124,113,136,97,0.096714
8,7,21,pauliopt_steiner_clifford,90,68,71,57,0.043281
8,7,21,naive,114,87,142,109,0.07903
8,7,21,pauliopt_divide_conquer,119,129,128,81,0.243323
9,7,21,tket_uccs_set,97,79,108,77,0.170253
9,7,21,tket_uccs_pair,100,93,103,75,0.182954
9,7,21,paulihedral,174,77,195,166,0.042989
9,7,21,pauliopt_steiner_nc,96,71,121,94,0.035299
9,7,21,pauliopt_ucc,114,101,108,79,0.089464
9,7,21,pauliopt_steiner_clifford,79,68,68,52,0.042616
9,7,21,pauliopt_divide_conquer,147,120,153,113,0.246434
9,7,21,naive,118,92,142,110,0.116015
10,7,21,paulihedral,154,79,173,145,0.061297
10,7,21,tket_uccs_pair,94,95,88,57,0.196862
10,7,21,tket_uccs_set,101,86,95,67,0.20559
10,7,21,pauliopt_steiner_nc,100,81,125,93,0.038526
10,7,21,pauliopt_ucc,123,99,138,102,0.089453
10,7,21,pauliopt_steiner_clifford,94,78,96,75,0.046655
10,7,21,pauliopt_divide_conquer,121,134,142,96,0.241004
10,7,21,naive,112,87,134,101,0.098258
11,7,21,tket_uccs_set,97,82,108,77,0.16583
11,7,21,tket_uccs_pair,90,94,115,77,0.193419
11,7,21,paulihedral,152,84,175,144,0.040327
11,7,21,pauliopt_steiner_nc,96,86,135,96,0.034709
11,7,21,pauliopt_ucc,124,101,129,95,0.080983
11,7,21,pauliopt_steiner_clifford,69,58,66,52,0.039958
11,7,21,pauliopt_divide_conquer,117,105,140,95,0.231597
11,7,21,naive,110,95,145,106,0.088163
12,7,21,tket_uccs_set,88,73,101,74,0.162644
12,7,21,tket_uccs_pair,92,87,107,73,0.168565
12,7,21,pauliopt_steiner_nc,92,79,121,89,0.037724
12,7,21,paulihedral,148,85,174,141,0.044624
12,7,21,pauliopt_ucc,107,91,92,66,0.092441
12,7,21,naive,110,87,134,102,0.037829
12,7,21,pauliopt_steiner_clifford,84,67,75,58,0.054037
13,7,21,tket_uccs_set,100,94,111,72,0.208407
12,7,21,pauliopt_divide_conquer,140,126,159,111,0.279039
13,7,21,tket_uccs_pair,106,110,125,82,0.244995
13,7,21,paulihedral,244,98,269,235,0.064732
13,7,21,pauliopt_steiner_nc,122,97,161,121,0.051692
13,7,21,pauliopt_ucc,103,107,108,72,0.119213
13,7,21,pauliopt_steiner_clifford,95,75,73,57,0.049213
13,7,21,pauliopt_divide_conquer,146,115,154,116,0.269985
13,7,21,naive,144,104,166,129,0.053368
14,7,21,paulihedral,98,65,114,89,0.045794
14,7,21,pauliopt_steiner_nc,80,72,105,75,0.05298
14,7,21,pauliopt_ucc,104,85,103,74,0.120771
14,7,21,tket_uccs_set,90,73,90,63,0.210806
