,t,fid_default,fid_ours,fid_tket
0,0.0,1.0,1.0,1.0
1,0.02564102564102564,0.9999997666989383,0.9999997666989379,0.9962907729743848
2,0.05128205128205128,0.9999962724313232,0.9999962724313234,0.9852364293024117
3,0.07692307692307693,0.9999811734331839,0.9999811734331842,0.9670548914568673
4,0.10256410256410256,0.9999406943204198,0.9999406943204193,0.9421024686135103
5,0.1282051282051282,0.9998558236755589,0.9998558236755585,0.9108637596339754
6,0.15384615384615385,0.9997025863147636,0.9997025863147632,0.873937998746662
7,0.1794871794871795,0.9994523905443281,0.9994523905443286,0.8320223041018167
8,0.20512820512820512,0.9990724480497435,0.9990724480497437,0.7858923913124306
9,0.23076923076923075,0.9985262632766305,0.9985262632766307,0.7363813954508294
10,0.2564102564102564,0.9977741882559301,0.9977741882559301,0.6843575028568029
11,0.28205128205128205,0.9967740378005531,0.9967740378005531,0.6307011265323623
12,0.3076923076923077,0.9954817588733174,0.9954817588733176,0.5762823648302797
13,0.3333333333333333,0.9938521467230041,0.9938521467230046,0.5219394625765674
14,0.358974358974359,0.9918395991434708,0.9918395991434708,0.4684589476931716
15,0.3846153846153846,0.9893988989750503,0.9893988989750507,0.416558046757408
16,0.41025641025641024,0.9864860137897421,0.9864860137897423,0.36686989257769864
17,0.4358974358974359,0.9830589006378271,0.9830589006378273,0.31993192937071513
18,0.4615384615384615,0.9790783028409925,0.9790783028409921,0.27617780069897685
19,0.48717948717948717,0.9745085251517727,0.9745085251517727,0.23593287662375126
20,0.5128205128205128,0.9693181732126938,0.9693181732126935,0.1994134444622375
21,0.5384615384615384,0.9634808431852557,0.9634808431852556,0.16672945709602627
22,0.5641025641025641,0.9569757477130825,0.956975747713082,0.13789060882011797
23,0.5897435897435898,0.9497882650573487,0.9497882650573483,0.11281539579550737
24,0.6153846153846154,0.9419103993040072,0.941910399304007,0.09134272033390053
25,0.641025641025641,0.9333411409841903,0.9333411409841903,0.0732455189218945
26,0.6666666666666666,0.9240867192485709,0.9240867192485711,0.058245835740541464
27,0.6923076923076923,0.9141607388548794,0.9141607388548794,0.046030728253159785
28,0.717948717948718,0.9035841976120296,0.90358419761203,0.036268380101318436
29,0.7435897435897436,0.892385382508241,0.892385382508241,0.028623809010186112
30,0.7692307692307692,0.8805996454570313,0.880599645457031,0.02277359268248046
31,0.7948717948717948,0.8682690623392213,0.8682690623392211,0.018419091909319903
32,0.8205128205128205,0.855441981711366,0.855441981711366,0.015297724719128908
33,0.8461538461538461,0.8421724721007158,0.8421724721007158,0.013191935030529064
34,0.8717948717948718,0.8285196791259036,0.8285196791259033,0.01193560015728621
35,0.8974358974358974,0.8145471056894211,0.8145471056894211,0.01141772945605792
36,0.923076923076923,0.8003218301110355,0.8003218301110355,0.011583417044433997
37,0.9487179487179487,0.7859136782521948,0.7859136782521948,0.012432120468816027
38,0.9743589743589743,0.7713943663777615,0.7713943663777615,0.014013440252819863
39,1.0,0.7568366316886471,0.7568366316886471,0.01642066851866655
