,t,fid_default,fid_ours,fid_tket
0,0.0,1.0,1.0,1.0
1,0.02564102564102564,0.9999938122873214,0.9998702542461929,0.9859654176924549
2,0.05128205128205128,0.9999016691045381,0.9994140750888564,0.9448948985633978
3,0.07692307692307693,0.9995078735103581,0.9984350383412752,0.8797776540661212
4,0.10256410256410256,0.9984697198563786,0.9966203119190924,0.7952419000194589
5,0.1282051282051282,0.9963425091716193,0.9935619747724606,0.6970725427233906
6,0.15384615384615385,0.992613923763938,0.9887857544733658,0.5916253749818035
7,0.1794871794871795,0.9867464862797947,0.9817858397110777,0.48521128238777145
8,0.20512820512820512,0.9782257965846363,0.9720638190780485,0.3835250879718722
9,0.23076923076923075,0.9666110621677975,0.9591691919056197,0.2911844056428045
10,0.2564102564102564,0.9515833818852731,0.9427384125397328,0.21142596368665723
11,0.28205128205128205,0.9329866281630803,0.92252919526566,0.14598329779786795
12,0.3076923076923077,0.9108558849636575,0.8984469258968354,0.0951442367712352
13,0.3333333333333333,0.8854293954066386,0.8705605458126742,0.05796306178512509
14,0.358974358974359,0.8571418102636973,0.8391061712880915,0.03258395144278747
15,0.3846153846153846,0.8265989394553107,0.8044778892140177,0.016621653494315332
16,0.41025641025641024,0.7945367475317672,0.7672064766082155,0.007543248631897644
17,0.4358974358974359,0.7617694829530047,0.7279280430027897,0.0030009913200668573
18,0.4615384615384615,0.7291331368422208,0.6873456131042819,0.0010788912107929443
19,0.48717948717948717,0.697430626179493,0.6461873092903371,0.0004324214177879514
20,0.5128205128205128,0.667384184487936,0.6051649773873169,0.0003185888249471528
21,0.5384615384615384,0.6395986669723858,0.5649368161157683,0.0005297602900119493
22,0.5641025641025641,0.6145372575856747,0.5260768847291196,0.0012568371593244425
23,0.5897435897435898,0.5925088799648061,0.48905339787876206,0.0029141993935523996
24,0.6153846153846154,0.5736648819624419,0.4542166297910569,0.005959891275361914
25,0.641025641025641,0.5580015686365187,0.4217962048168887,0.010740344908669743
26,0.6666666666666666,0.5453650236508544,0.39190668706962145,0.017380850435470562
27,0.6923076923076923,0.5354553614928244,0.3645597885624883,0.025732757518893434
28,0.717948717948718,0.5278289600684265,0.33968122246733345,0.035377918995478784
29,0.7435897435897436,0.5218991217838671,0.3171302063178208,0.04568184197319026
30,0.7692307692307692,0.5169377174665267,0.29671979661106046,0.055880612635525066
31,0.7948717948717948,0.5120823217082943,0.2782365215439432,0.06518352999392474
32,0.8205128205128205,0.5063547116835967,0.26145809357386957,0.07287352631540855
33,0.8461538461538461,0.4986968823130032,0.2461682810796489,0.07839034609823418
34,0.8717948717948718,0.48802946216869936,0.2321682904385265,0.08138621757441958
35,0.8974358974358974,0.47333429471478544,0.21928427734623623,0.08174933758375535
36,0.923076923076923,0.45375802265119214,0.20737089754204457,0.07959589772051992
37,0.9487179487179487,0.4287273413992955,0.19631113389493215,0.07523580052851458
38,0.9743589743589743,0.39806033062315127,0.18601297914214704,0.0691201399933535
39,1.0,0.36205358742281685,0.17640386164247213,0.06177976948549168
