,t,fid_default,fid_ours,fid_tket
0,0.0,1.0,1.0,1.0
1,0.02564102564102564,0.9999988413599245,0.9999295473554145,0.9465540692820339
2,0.05128205128205128,0.9999816560696809,0.9997111192927415,0.8016993611439784
3,0.07692307692307693,0.9999087493973092,0.9993242556755073,0.6051671765928686
4,0.10256410256410256,0.9997185944248632,0.9987372765997239,0.4044464757343893
5,0.1282051282051282,0.9993342759058292,0.9979106394095033,0.2372032408809835
6,0.15384615384615385,0.9986715490811418,0.9968011201300123,0.1209900934987802
7,0.1794871794871795,0.9976476510248647,0.9953663666833457,0.053603318426430374
8,0.20512820512820512,0.9961898979574607,0.9935693274757336,0.02128969608681596
9,0.23076923076923075,0.9942430988016817,0.9913820705723946,0.008613601765741814
10,0.2564102564102564,0.9917749214542723,0.9887885724743635,0.0047083488809287035
11,0.28205128205128205,0.9887785589863742,0.9857861663697977,0.004343189463221446
12,0.3076923076923077,0.9852723376796506,0.9823854844275237,0.0057166694196446165
13,0.3333333333333333,0.9812962528505904,0.9786088904853799,0.007979789360667778
14,0.358974358974359,0.9769057681858049,0.9744875595572956,0.01023377189917979
15,0.3846153846153846,0.9721635247744047,0.9700575010024086,0.011824509349187157
16,0.41025641025641024,0.9671298388711662,0.9653549284076728,0.01283394972012839
17,0.4358974358974359,0.9618529975029522,0.960411441823517,0.014097674888001793
18,0.4615384615384615,0.956360379404254,0.955249503389186,0.016949871313297907
19,0.48717948717948717,0.9506513418887205,0.9498786574459643,0.02315813131927704
20,0.5128205128205128,0.9446926400041633,0.944292876992652,0.034987872718828104
21,0.5384615384615384,0.938416906546678,0.938469318368694,0.05477369324061708
22,0.5641025641025641,0.9317244450957917,0.9323686449512811,0.08357070586744234
23,0.5897435897435898,0.9244882959375568,0.9259369479789477,0.119399609853707
24,0.6153846153846154,0.9165622464139407,0.9191091574220307,0.1564227015581308
25,0.641025641025641,0.9077911908418337,0.9118137067456111,0.1861889324938524
26,0.6666666666666666,0.8980230184220759,0.9039781009811338,0.20080101064697603
27,0.6923076923076923,0.8871210390155043,0.8955349463716518,0.19640758343710413
28,0.717948717948718,0.874975864991094,0.8864279405257023,0.17497487051832336
29,0.7435897435897436,0.86151566901107,0.8766173022020475,0.14327644347854024
30,0.7692307692307692,0.8467138430553283,0.8660841451395396,0.10977677385056753
31,0.7948717948717948,0.830593293516621,0.85483337272993,0.08131639364636038
32,0.8205128205128205,0.8132269078095479,0.8428947868668634,0.06138726642210929
33,0.8461538461538461,0.7947340922836384,0.8303222564312176,0.05050716652777179
34,0.8717948717948718,0.7752736695915599,0.8171909646880847,0.04777927300479374
35,0.8974358974358974,0.7550337890305993,0.803592932521799,0.05217519267403634
36,0.923076923076923,0.7342197989399415,0.789631176481414,0.06266940407774856
37,0.9487179487179487,0.713041217722709,0.7754129889117188,0.0774798501523156
38,0.9743589743589743,0.6916989968959604,0.7610429079724389,0.09341805670972167
39,1.0,0.6703741929634827,0.7466159702523102,0.10621055793419618
