,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
0,0,16,1,ours,0,0,1,0.018496036529541016,1,1
1,0,16,1,ours_random,0,0,1,0.018390178680419922,1,1
2,0,16,1,ours_temp,0,0,1,0.7692575454711914,1,1
3,0,16,1,Bravyi et al. (qiskit),0,0,1,0.0025925636291503906,1,1
4,1,16,1,ours,0,1,0,0.017858266830444336,1,0
5,1,16,1,ours_random,0,1,0,0.01824021339416504,1,0
6,1,16,1,ours_temp,0,1,0,0.7336084842681885,1,0
7,1,16,1,Bravyi et al. (qiskit),0,1,0,0.0025992393493652344,1,0
8,2,16,1,ours,0,0,1,0.018282413482666016,1,1
9,2,16,1,ours_random,0,0,1,0.018417835235595703,1,1
10,2,16,1,ours_temp,0,0,1,0.745311975479126,1,1
11,2,16,1,Bravyi et al. (qiskit),0,0,1,0.0024297237396240234,1,1
12,3,16,1,ours,1,0,0,0.017630577087402344,1,0
13,3,16,1,ours_random,1,0,0,0.017987489700317383,1,0
14,3,16,1,ours_temp,1,0,0,0.712731122970581,1,0
15,3,16,1,Bravyi et al. (qiskit),1,0,0,0.0023543834686279297,1,0
16,4,16,1,ours,0,0,1,0.017540931701660156,1,1
17,4,16,1,ours_random,0,0,1,0.018236160278320312,1,1
18,4,16,1,ours_temp,0,0,1,0.7239334583282471,1,1
19,4,16,1,Bravyi et al. (qiskit),0,0,1,0.0023374557495117188,1,1
20,5,16,1,ours,0,1,0,0.01735997200012207,1,0
21,5,16,1,ours_random,0,1,0,0.017484664916992188,1,0
22,5,16,1,ours_temp,0,1,0,0.7044672966003418,1,0
23,5,16,1,Bravyi et al. (qiskit),0,1,0,0.0022814273834228516,1,0
24,6,16,1,ours,0,1,0,0.0174562931060791,1,0
25,6,16,1,ours_random,0,1,0,0.017900943756103516,1,0
26,6,16,1,ours_temp,0,1,0,0.7107388973236084,1,0
27,6,16,1,Bravyi et al. (qiskit),0,1,0,0.0023632049560546875,1,0
28,7,16,1,ours,0,1,0,0.017473697662353516,1,0
29,7,16,1,ours_random,0,1,0,0.01715993881225586,1,0
30,7,16,1,ours_temp,0,1,0,0.7103140354156494,1,0
31,7,16,1,Bravyi et al. (qiskit),0,1,0,0.002330303192138672,1,0
32,8,16,1,ours,1,0,0,0.017141342163085938,1,0
33,8,16,1,ours_random,1,0,0,0.017404794692993164,1,0
34,8,16,1,ours_temp,1,0,0,0.7123494148254395,1,0
35,8,16,1,Bravyi et al. (qiskit),1,0,0,0.0025177001953125,1,0
36,9,16,1,ours,1,0,0,0.017452001571655273,1,0
37,9,16,1,ours_random,1,0,0,0.017322778701782227,1,0
38,9,16,1,ours_temp,1,0,0,0.7172255516052246,1,0
39,9,16,1,Bravyi et al. (qiskit),1,0,0,0.0024890899658203125,1,0
