,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
75,12,5,1,Ewout van den Berg (stim),0,0,1,0.013120889663696289,1,1
76,12,5,1,Duncan et al (pyzx),4,0,1,0.00939178466796875,3,3
77,12,5,1,Maslov et al,10,0,59,0.025784015655517578,32,32
78,13,5,1,ours,1,0,0,0.0031082630157470703,2,2
79,13,5,1,qiskit transpile,1,0,0,0.005944728851318359,1,1
80,13,5,1,Bravyi et al. (qiskit),1,0,0,0.009387969970703125,1,1
81,13,5,1,Ewout van den Berg (stim),1,0,0,0.009253263473510742,1,1
82,13,5,1,Duncan et al (pyzx),1,0,0,0.004142045974731445,1,1
83,13,5,1,Maslov et al,9,0,54,0.014399051666259766,29,29
84,14,5,1,ours,0,0,1,0.0071218013763427734,2,2
85,14,5,1,qiskit transpile,0,0,1,0.005012989044189453,1,1
86,14,5,1,Bravyi et al. (qiskit),0,0,1,0.007290840148925781,1,1
87,14,5,1,Ewout van den Berg (stim),0,0,1,0.005541086196899414,1,1
88,14,5,1,Duncan et al (pyzx),4,0,1,0.00845193862915039,3,3
89,14,5,1,Maslov et al,10,0,55,0.024428844451904297,30,30
90,15,5,1,ours,1,0,0,0.0030422210693359375,2,2
91,15,5,1,qiskit transpile,1,0,0,0.006011962890625,1,1
92,15,5,1,Bravyi et al. (qiskit),1,0,0,0.006802082061767578,1,1
93,15,5,1,Ewout van den Berg (stim),1,0,0,0.004805088043212891,1,1
94,15,5,1,Duncan et al (pyzx),1,0,0,0.006578207015991211,1,1
95,15,5,1,Maslov et al,9,0,54,0.024325132369995117,29,29
96,16,5,1,ours,1,0,0,0.0047800540924072266,2,2
97,16,5,1,qiskit transpile,1,0,0,0.007275104522705078,1,1
98,16,5,1,Bravyi et al. (qiskit),1,0,0,0.004548072814941406,1,1
99,16,5,1,Ewout van den Berg (stim),1,0,0,0.011821985244750977,1,1
100,16,5,1,Duncan et al (pyzx),1,0,0,0.011255979537963867,1,1
101,16,5,1,Maslov et al,9,0,54,0.02087688446044922,29,29
102,17,5,1,ours,0,1,0,0.0033719539642333984,2,2
103,17,5,1,qiskit transpile,0,1,0,0.007673978805541992,1,1
104,17,5,1,Bravyi et al. (qiskit),0,1,0,0.005742073059082031,1,1
105,17,5,1,Ewout van den Berg (stim),0,1,0,0.005955934524536133,1,1
106,17,5,1,Duncan et al (pyzx),0,1,0,0.009796142578125,1,1
107,17,5,1,Maslov et al,10,1,54,0.026276111602783203,29,29
108,18,5,1,ours,0,1,0,0.0068359375,2,2
109,18,5,1,qiskit transpile,0,1,0,0.003406047821044922,1,1
110,18,5,1,Bravyi et al. (qiskit),0,1,0,0.004818916320800781,1,1
111,18,5,1,Ewout van den Berg (stim),0,1,0,0.01191401481628418,1,1
112,18,5,1,Duncan et al (pyzx),0,1,0,0.018074750900268555,1,1
113,18,5,1,Maslov et al,10,1,54,0.02868485450744629,30,30
114,19,5,1,ours,0,0,1,0.00658726692199707,2,2
115,19,5,1,qiskit transpile,0,0,1,0.003818988800048828,1,1
116,19,5,1,Bravyi et al. (qiskit),0,0,1,0.004132270812988281,1,1
117,19,5,1,Ewout van den Berg (stim),0,0,1,0.007253885269165039,1,1
118,19,5,1,Duncan et al (pyzx),4,0,1,0.014864206314086914,3,3
119,19,5,1,Maslov et al,10,0,53,0.031311988830566406,29,29
120,0,5,21,ours,14,18,12,0.0161130428314209,29,29
121,0,5,21,qiskit transpile,7,5,9,0.01252603530883789,10,10
122,0,5,21,Bravyi et al. (qiskit),12,21,14,0.006417989730834961,23,23
123,0,5,21,Ewout van den Berg (stim),16,23,13,0.008898019790649414,24,24
124,0,5,21,Duncan et al (pyzx),13,10,17,0.012830972671508789,28,28
125,0,5,21,Maslov et al,12,53,57,0.018929719924926758,57,57
126,1,5,21,ours,13,22,12,0.0068399906158447266,28,28
127,1,5,21,qiskit transpile,4,6,7,0.00525212287902832,7,7
128,1,5,21,Bravyi et al. (qiskit),8,9,9,0.008266925811767578,13,13
129,1,5,21,Ewout van den Berg (stim),12,14,13,0.006365060806274414,20,20
130,1,5,21,Duncan et al (pyzx),18,8,16,0.01155996322631836,22,22
131,1,5,21,Maslov et al,8,45,62,0.02148890495300293,57,57
132,2,5,21,ours,10,16,7,0.011994123458862305,17,17
133,2,5,21,qiskit transpile,3,8,8,0.010496854782104492,10,10
134,2,5,21,Bravyi et al. (qiskit),8,10,13,0.006987094879150391,23,23
135,2,5,21,Ewout van den Berg (stim),7,10,12,0.008800983428955078,20,20
136,2,5,21,Duncan et al (pyzx),13,14,19,0.015159130096435547,27,27
137,2,5,21,Maslov et al,9,44,62,0.0234220027923584,57,57
138,3,5,21,ours,15,14,9,0.007781267166137695,22,22
139,3,5,21,qiskit transpile,5,10,6,0.003724813461303711,10,10
140,3,5,21,Bravyi et al. (qiskit),14,16,12,0.006727933883666992,21,21
141,3,5,21,Ewout van den Berg (stim),19,22,19,0.008916854858398438,28,28
142,3,5,21,Duncan et al (pyzx),17,8,18,0.0109710693359375,28,28
143,3,5,21,Maslov et al,11,48,56,0.019697904586791992,58,58
144,4,5,21,ours,13,16,7,0.010365962982177734,21,21
145,4,5,21,qiskit transpile,3,9,5,0.005753993988037109,6,6
146,4,5,21,Bravyi et al. (qiskit),1,8,4,0.006978273391723633,7,7
147,4,5,21,Ewout van den Berg (stim),1,8,4,0.006087064743041992,7,7
