,n_rep,num_qubits,n_gadgets,method,h,s,cx
118,9,65,101,Bravyi et al. (qiskit),46,41,171
119,9,65,101,Ewout van den Berg (stim),46,41,194
120,10,65,101,ours,135,143,405
121,10,65,101,qiskit transpile,37,36,52
122,10,65,101,Bravyi et al. (qiskit),37,41,81
123,10,65,101,Ewout van den Berg (stim),35,38,83
124,11,65,101,ours,328,231,1392
125,11,65,101,qiskit transpile,38,25,122
126,11,65,101,Bravyi et al. (qiskit),48,26,125
127,11,65,101,Ewout van den Berg (stim),48,26,140
128,12,65,101,ours,209,202,881
129,12,65,101,qiskit transpile,38,30,33
130,12,65,101,Bravyi et al. (qiskit),46,41,92
131,12,65,101,Ewout van den Berg (stim),46,41,90
132,13,65,101,ours,247,213,890
133,13,65,101,qiskit transpile,40,29,104
134,13,65,101,Bravyi et al. (qiskit),58,52,98
135,13,65,101,Ewout van den Berg (stim),58,52,123
136,14,65,101,ours,253,234,1150
137,14,65,101,qiskit transpile,32,31,108
138,14,65,101,Bravyi et al. (qiskit),33,38,149
139,14,65,101,Ewout van den Berg (stim),55,50,162
140,15,65,101,ours,132,158,293
141,15,65,101,qiskit transpile,37,35,83
142,15,65,101,Bravyi et al. (qiskit),45,41,111
143,15,65,101,Ewout van den Berg (stim),47,42,125
144,16,65,101,ours,158,164,482
145,16,65,101,qiskit transpile,31,36,110
146,16,65,101,Bravyi et al. (qiskit),46,43,140
147,16,65,101,Ewout van den Berg (stim),58,50,170
148,17,65,101,ours,285,228,1049
149,17,65,101,qiskit transpile,41,26,88
150,17,65,101,Bravyi et al. (qiskit),47,32,135
151,17,65,101,Ewout van den Berg (stim),47,32,117
152,18,65,101,ours,148,146,440
153,18,65,101,qiskit transpile,43,30,28
154,18,65,101,Bravyi et al. (qiskit),31,30,88
155,18,65,101,Ewout van den Berg (stim),33,30,73
156,19,65,101,ours,185,182,856
157,19,65,101,qiskit transpile,31,33,113
158,19,65,101,Bravyi et al. (qiskit),50,44,191
159,19,65,101,Ewout van den Berg (stim),56,45,255
160,0,65,201,ours,431,338,1570
161,0,65,201,qiskit transpile,69,57,403
162,0,65,201,Bravyi et al. (qiskit),106,108,663
163,0,65,201,Ewout van den Berg (stim),128,112,819
164,1,65,201,ours,518,392,2158
165,1,65,201,qiskit transpile,62,70,379
166,1,65,201,Bravyi et al. (qiskit),114,109,548
167,1,65,201,Ewout van den Berg (stim),139,118,775
168,2,65,201,ours,444,347,1563
169,2,65,201,qiskit transpile,64,75,264
170,2,65,201,Bravyi et al. (qiskit),79,84,387
171,2,65,201,Ewout van den Berg (stim),109,100,693
172,3,65,201,ours,402,324,1609
173,3,65,201,qiskit transpile,75,72,168
174,3,65,201,Bravyi et al. (qiskit),122,97,374
175,3,65,201,Ewout van den Berg (stim),146,124,422
176,4,65,201,ours,523,415,2132
177,4,65,201,qiskit transpile,71,59,367
178,4,65,201,Bravyi et al. (qiskit),105,99,619
179,4,65,201,Ewout van den Berg (stim),112,104,767
180,5,65,201,ours,518,393,2322
181,5,65,201,qiskit transpile,67,69,364
182,5,65,201,Bravyi et al. (qiskit),109,103,639
183,5,65,201,Ewout van den Berg (stim),139,119,847
184,6,65,201,ours,364,339,1345
185,6,65,201,qiskit transpile,68,89,143
186,6,65,201,Bravyi et al. (qiskit),124,134,209
187,6,65,201,Ewout van den Berg (stim),128,137,292
188,7,65,201,ours,436,346,1522
189,7,65,201,qiskit transpile,80,62,218
190,7,65,201,Bravyi et al. (qiskit),98,93,460
191,7,65,201,Ewout van den Berg (stim),113,106,526
192,8,65,201,ours,517,353,2063
193,8,65,201,qiskit transpile,70,54,474
194,8,65,201,Bravyi et al. (qiskit),104,92,762
195,8,65,201,Ewout van den Berg (stim),104,101,888
196,9,65,201,ours,504,388,1899
197,9,65,201,qiskit transpile,68,66,368
198,9,65,201,Bravyi et al. (qiskit),109,91,536
199,9,65,201,Ewout van den Berg (stim),128,85,838
200,10,65,201,ours,355,307,1237
201,10,65,201,qiskit transpile,72,63,316
202,10,65,201,Bravyi et al. (qiskit),111,120,535
203,10,65,201,Ewout van den Berg (stim),131,108,935
204,11,65,201,ours,433,358,1427
205,11,65,201,qiskit transpile,63,76,305
206,11,65,201,Bravyi et al. (qiskit),110,120,505
207,11,65,201,Ewout van den Berg (stim),142,122,606
208,12,65,201,ours,558,400,2020
209,12,65,201,qiskit transpile,74,60,339
210,12,65,201,Bravyi et al. (qiskit),112,101,516
211,12,65,201,Ewout van den Berg (stim),143,104,774
212,13,65,201,ours,260,211,973
213,13,65,201,qiskit transpile,72,77,248
214,13,65,201,Bravyi et al. (qiskit),93,115,351
215,13,65,201,Ewout van den Berg (stim),121,129,523
216,14,65,201,ours,551,406,2082
217,14,65,201,qiskit transpile,65,64,358
218,14,65,201,Bravyi et al. (qiskit),107,99,616
219,14,65,201,Ewout van den Berg (stim),126,109,888
220,15,65,201,ours,594,464,2699
221,15,65,201,qiskit transpile,63,64,368
222,15,65,201,Bravyi et al. (qiskit),104,114,597
223,15,65,201,Ewout van den Berg (stim),110,111,680
224,16,65,201,ours,493,384,1881
225,16,65,201,qiskit transpile,62,65,385
226,16,65,201,Bravyi et al. (qiskit),96,113,614
227,16,65,201,Ewout van den Berg (stim),208,135,1797
228,17,65,201,ours,383,330,1498
229,17,65,201,qiskit transpile,59,74,398
230,17,65,201,Bravyi et al. (qiskit),117,106,790
231,17,65,201,Ewout van den Berg (stim),163,134,1264
232,18,65,201,ours,670,495,2554
233,18,65,201,qiskit transpile,53,77,383
234,18,65,201,Bravyi et al. (qiskit),126,133,716
235,18,65,201,Ewout van den Berg (stim),177,137,1356
236,19,65,201,ours,362,321,1418
237,19,65,201,qiskit transpile,56,85,304
238,19,65,201,Bravyi et al. (qiskit),105,119,489
239,19,65,201,Ewout van den Berg (stim),142,119,802
240,0,65,301,ours,729,521,2631
241,0,65,301,qiskit transpile,91,98,860
242,0,65,301,Bravyi et al. (qiskit),209,160,1822
243,0,65,301,Ewout van den Berg (stim),333,230,3814
244,1,65,301,ours,736,528,2565
245,1,65,301,qiskit transpile,102,100,707
246,1,65,301,Bravyi et al. (qiskit),173,151,1333
247,1,65,301,Ewout van den Berg (stim),190,157,1882
248,2,65,301,ours,839,586,2820
249,2,65,301,qiskit transpile,97,93,883
250,2,65,301,Bravyi et al. (qiskit),234,169,2216
251,2,65,301,Ewout van den Berg (stim),468,248,5896
252,3,65,301,ours,764,550,2989
253,3,65,301,qiskit transpile,90,111,745
254,3,65,301,Bravyi et al. (qiskit),214,182,1643
255,3,65,301,Ewout van den Berg (stim),438,242,5186
256,4,65,301,ours,701,512,2743
257,4,65,301,qiskit transpile,100,104,694
258,4,65,301,Bravyi et al. (qiskit),203,167,1569
259,4,65,301,Ewout van den Berg (stim),290,180,2689
260,5,65,301,ours,822,602,2984
261,5,65,301,qiskit transpile,93,111,690
262,5,65,301,Bravyi et al. (qiskit),184,177,1237
