,n_rep,num_qubits,n_gadgets,method,h,s,cx
0,0,7,1,ours,0,1,0
1,0,7,1,qiskit transpile,0,1,0
2,0,7,1,Bravyi et al. (qiskit),0,1,0
3,0,7,1,Ewout van den Berg (stim),2,1,0
4,1,7,1,ours,0,0,1
5,1,7,1,qiskit transpile,0,0,1
6,1,7,1,Bravyi et al. (qiskit),0,0,1
7,1,7,1,Ewout van den Berg (stim),2,0,1
8,2,7,1,ours,0,0,1
9,2,7,1,qiskit transpile,0,0,1
10,2,7,1,Bravyi et al. (qiskit),0,0,1
11,2,7,1,Ewout van den Berg (stim),2,0,1
12,3,7,1,ours,0,1,0
13,3,7,1,qiskit transpile,0,1,0
14,3,7,1,Bravyi et al. (qiskit),0,1,0
15,3,7,1,Ewout van den Berg (stim),2,1,0
16,4,7,1,ours,0,1,0
17,4,7,1,qiskit transpile,0,1,0
18,4,7,1,Bravyi et al. (qiskit),0,1,0
19,4,7,1,Ewout van den Berg (stim),2,1,0
20,5,7,1,ours,1,0,0
21,5,7,1,qiskit transpile,1,0,0
22,5,7,1,Bravyi et al. (qiskit),1,0,0
23,5,7,1,Ewout van den Berg (stim),3,0,0
24,6,7,1,ours,1,0,0
25,6,7,1,qiskit transpile,1,0,0
26,6,7,1,Bravyi et al. (qiskit),1,0,0
27,6,7,1,Ewout van den Berg (stim),3,0,0
28,7,7,1,ours,0,1,0
29,7,7,1,qiskit transpile,0,1,0
30,7,7,1,Bravyi et al. (qiskit),0,1,0
31,7,7,1,Ewout van den Berg (stim),2,1,0
32,8,7,1,ours,0,0,1
33,8,7,1,qiskit transpile,0,0,1
34,8,7,1,Bravyi et al. (qiskit),0,0,1
35,8,7,1,Ewout van den Berg (stim),2,0,1
36,9,7,1,ours,1,0,0
37,9,7,1,qiskit transpile,1,0,0
38,9,7,1,Bravyi et al. (qiskit),1,0,0
39,9,7,1,Ewout van den Berg (stim),1,0,0
40,10,7,1,ours,1,0,0
41,10,7,1,qiskit transpile,1,0,0
42,10,7,1,Bravyi et al. (qiskit),1,0,0
43,10,7,1,Ewout van den Berg (stim),1,0,0
44,11,7,1,ours,1,0,0
45,11,7,1,qiskit transpile,1,0,0
46,11,7,1,Bravyi et al. (qiskit),1,0,0
47,11,7,1,Ewout van den Berg (stim),3,0,0
48,12,7,1,ours,0,0,1
49,12,7,1,qiskit transpile,0,0,1
50,12,7,1,Bravyi et al. (qiskit),0,0,1
51,12,7,1,Ewout van den Berg (stim),2,0,1
52,13,7,1,ours,0,1,0
53,13,7,1,qiskit transpile,0,1,0
54,13,7,1,Bravyi et al. (qiskit),0,1,0
55,13,7,1,Ewout van den Berg (stim),2,1,0
56,14,7,1,ours,0,0,1
57,14,7,1,qiskit transpile,0,0,1
58,14,7,1,Bravyi et al. (qiskit),0,0,1
59,14,7,1,Ewout van den Berg (stim),2,0,1
60,15,7,1,ours,0,0,1
61,15,7,1,qiskit transpile,0,0,1
62,15,7,1,Bravyi et al. (qiskit),0,0,1
63,15,7,1,Ewout van den Berg (stim),0,0,1
64,16,7,1,ours,0,0,1
65,16,7,1,qiskit transpile,0,0,1
66,16,7,1,Bravyi et al. (qiskit),0,0,1
67,16,7,1,Ewout van den Berg (stim),0,0,1
68,17,7,1,ours,0,1,0
69,17,7,1,qiskit transpile,0,1,0
70,17,7,1,Bravyi et al. (qiskit),0,1,0
71,17,7,1,Ewout van den Berg (stim),2,1,0
72,18,7,1,ours,0,1,0
73,18,7,1,qiskit transpile,0,1,0
74,18,7,1,Bravyi et al. (qiskit),0,1,0
75,18,7,1,Ewout van den Berg (stim),2,1,0
76,19,7,1,ours,1,0,0
77,19,7,1,qiskit transpile,1,0,0
78,19,7,1,Bravyi et al. (qiskit),1,0,0
79,19,7,1,Ewout van den Berg (stim),3,0,0
80,0,7,21,ours,16,22,13
81,0,7,21,qiskit transpile,3,8,10
82,0,7,21,Bravyi et al. (qiskit),11,15,20
83,0,7,21,Ewout van den Berg (stim),15,24,17
84,1,7,21,ours,17,24,11
85,1,7,21,qiskit transpile,8,5,8
86,1,7,21,Bravyi et al. (qiskit),13,18,7
87,1,7,21,Ewout van den Berg (stim),11,12,10
88,2,7,21,ours,23,25,15
89,2,7,21,qiskit transpile,7,7,7
90,2,7,21,Bravyi et al. (qiskit),11,11,14
91,2,7,21,Ewout van den Berg (stim),11,11,18
92,3,7,21,ours,15,21,10
93,3,7,21,qiskit transpile,6,7,8
94,3,7,21,Bravyi et al. (qiskit),6,7,12
95,3,7,21,Ewout van den Berg (stim),6,7,12
96,4,7,21,ours,10,15,13
97,4,7,21,qiskit transpile,5,8,8
98,4,7,21,Bravyi et al. (qiskit),3,11,14
99,4,7,21,Ewout van den Berg (stim),3,11,13
100,5,7,21,ours,13,10,10
101,5,7,21,qiskit transpile,11,3,5
102,5,7,21,Bravyi et al. (qiskit),9,6,6
103,5,7,21,Ewout van den Berg (stim),9,6,6
104,6,7,21,ours,16,24,18
105,6,7,21,qiskit transpile,3,8,10
106,6,7,21,Bravyi et al. (qiskit),11,16,23
107,6,7,21,Ewout van den Berg (stim),13,17,21
108,7,7,21,ours,10,17,9
109,7,7,21,qiskit transpile,4,9,8
110,7,7,21,Bravyi et al. (qiskit),14,22,13
111,7,7,21,Ewout van den Berg (stim),8,10,11
112,8,7,21,ours,18,28,16
113,8,7,21,qiskit transpile,5,6,8
114,8,7,21,Bravyi et al. (qiskit),9,6,13
115,8,7,21,Ewout van den Berg (stim),9,6,13
116,9,7,21,ours,15,20,17
117,9,7,21,qiskit transpile,7,5,9
118,9,7,21,Bravyi et al. (qiskit),12,16,17
119,9,7,21,Ewout van den Berg (stim),16,21,21
120,10,7,21,ours,14,16,10
121,10,7,21,qiskit transpile,9,7,5
122,10,7,21,Bravyi et al. (qiskit),7,7,6
123,10,7,21,Ewout van den Berg (stim),7,7,6
124,11,7,21,ours,14,11,4
125,11,7,21,qiskit transpile,7,10,4
126,11,7,21,Bravyi et al. (qiskit),13,12,6
127,11,7,21,Ewout van den Berg (stim),13,12,6
128,12,7,21,ours,7,7,7
129,12,7,21,qiskit transpile,6,7,8
130,12,7,21,Bravyi et al. (qiskit),10,5,12
131,12,7,21,Ewout van den Berg (stim),10,10,12
132,13,7,21,ours,16,25,14
133,13,7,21,qiskit transpile,4,8,9
134,13,7,21,Bravyi et al. (qiskit),10,10,12
135,13,7,21,Ewout van den Berg (stim),12,11,16
136,14,7,21,ours,12,17,2
137,14,7,21,qiskit transpile,10,9,2
138,14,7,21,Bravyi et al. (qiskit),12,16,4
139,14,7,21,Ewout van den Berg (stim),9,13,3
140,15,7,21,ours,14,27,6
141,15,7,21,qiskit transpile,6,10,5
142,15,7,21,Bravyi et al. (qiskit),16,14,10
143,15,7,21,Ewout van den Berg (stim),16,14,10
144,16,7,21,ours,14,20,13
145,16,7,21,qiskit transpile,10,5,6
146,16,7,21,Bravyi et al. (qiskit),6,7,11
147,16,7,21,Ewout van den Berg (stim),6,6,11
148,17,7,21,ours,13,24,6
149,17,7,21,qiskit transpile,4,12,3
150,17,7,21,Bravyi et al. (qiskit),6,9,4
151,17,7,21,Ewout van den Berg (stim),8,9,5
152,18,7,21,ours,7,20,4
153,18,7,21,qiskit transpile,5,11,5
154,18,7,21,Bravyi et al. (qiskit),7,16,5
155,18,7,21,Ewout van den Berg (stim),7,16,5
156,19,7,21,ours,16,20,18
157,19,7,21,qiskit transpile,7,5,9
158,19,7,21,Bravyi et al. (qiskit),14,17,10
159,19,7,21,Ewout van den Berg (stim),12,17,9
160,0,7,41,ours,23,28,22
161,0,7,41,qiskit transpile,11,16,14
162,0,7,41,Bravyi et al. (qiskit),20,23,19
163,0,7,41,Ewout van den Berg (stim),25,21,22
164,1,7,41,ours,17,18,17
165,1,7,41,qiskit transpile,15,13,13
166,1,7,41,Bravyi et al. (qiskit),22,21,14
167,1,7,41,Ewout van den Berg (stim),16,16,13
168,2,7,41,ours,32,38,24
169,2,7,41,qiskit transpile,17,13,11
170,2,7,41,Bravyi et al. (qiskit),22,18,17
171,2,7,41,Ewout van den Berg (stim),24,17,18
172,3,7,41,ours,13,22,20
173,3,7,41,qiskit transpile,16,16,9
174,3,7,41,Bravyi et al. (qiskit),21,29,16
175,3,7,41,Ewout van den Berg (stim),21,27,15
176,4,7,41,ours,9,16,14
177,4,7,41,qiskit transpile,12,13,14
178,4,7,41,Bravyi et al. (qiskit),18,18,20
179,4,7,41,Ewout van den Berg (stim),16,15,20
180,5,7,41,ours,23,22,21
181,5,7,41,qiskit transpile,20,8,13
182,5,7,41,Bravyi et al. (qiskit),22,26,21
183,5,7,41,Ewout van den Berg (stim),20,31,23
184,6,7,41,ours,21,27,28
185,6,7,41,qiskit transpile,11,12,18
186,6,7,41,Bravyi et al. (qiskit),16,15,18
187,6,7,41,Ewout van den Berg (stim),25,23,26
188,7,7,41,ours,15,29,28
189,7,7,41,qiskit transpile,12,14,15
190,7,7,41,Bravyi et al. (qiskit),12,22,18
191,7,7,41,Ewout van den Berg (stim),19,23,28
192,8,7,41,ours,21,26,31
193,8,7,41,qiskit transpile,13,15,13
194,8,7,41,Bravyi et al. (qiskit),27,26,22
195,8,7,41,Ewout van den Berg (stim),26,18,26
196,9,7,41,ours,25,34,27
197,9,7,41,qiskit transpile,13,18,10
198,9,7,41,Bravyi et al. (qiskit),17,25,24
199,9,7,41,Ewout van den Berg (stim),21,22,22
200,10,7,41,ours,17,17,16
201,10,7,41,qiskit transpile,15,14,8
202,10,7,41,Bravyi et al. (qiskit),16,18,11
203,10,7,41,Ewout van den Berg (stim),25,17,19
204,11,7,41,ours,22,23,29
205,11,7,41,qiskit transpile,10,12,19
206,11,7,41,Bravyi et al. (qiskit),18,20,26
207,11,7,41,Ewout van den Berg (stim),26,26,35
208,12,7,41,ours,23,34,23
209,12,7,41,qiskit transpile,16,10,15
210,12,7,41,Bravyi et al. (qiskit),18,20,21
211,12,7,41,Ewout van den Berg (stim),22,24,26
212,13,7,41,ours,22,27,14
213,13,7,41,qiskit transpile,14,17,8
214,13,7,41,Bravyi et al. (qiskit),17,14,10
215,13,7,41,Ewout van den Berg (stim),18,18,12
216,14,7,41,ours,32,33,25
217,14,7,41,qiskit transpile,11,18,12
218,14,7,41,Bravyi et al. (qiskit),22,24,21
219,14,7,41,Ewout van den Berg (stim),27,16,35
220,15,7,41,ours,20,31,22
221,15,7,41,qiskit transpile,9,18,14
222,15,7,41,Bravyi et al. (qiskit),21,31,23
223,15,7,41,Ewout van den Berg (stim),23,25,28
224,16,7,41,ours,16,24,19
225,16,7,41,qiskit transpile,12,9,18
226,16,7,41,Bravyi et al. (qiskit),18,18,22
227,16,7,41,Ewout van den Berg (stim),14,12,23
228,17,7,41,ours,19,26,27
229,17,7,41,qiskit transpile,8,20,13
230,17,7,41,Bravyi et al. (qiskit),18,22,17
231,17,7,41,Ewout van den Berg (stim),18,22,19
232,18,7,41,ours,24,34,22
233,18,7,41,qiskit transpile,10,16,13
234,18,7,41,Bravyi et al. (qiskit),20,25,27
235,18,7,41,Ewout van den Berg (stim),30,29,34
236,19,7,41,ours,19,22,23
237,19,7,41,qiskit transpile,15,13,13
238,19,7,41,Bravyi et al. (qiskit),25,23,18
239,19,7,41,Ewout van den Berg (stim),23,17,29
240,0,7,61,ours,23,28,25
241,0,7,61,qiskit transpile,31,12,18
242,0,7,61,Bravyi et al. (qiskit),25,28,31
243,0,7,61,Ewout van den Berg (stim),32,19,42
244,1,7,61,ours,19,37,28
245,1,7,61,qiskit transpile,20,14,27
246,1,7,61,Bravyi et al. (qiskit),19,29,31
247,1,7,61,Ewout van den Berg (stim),24,27,33
248,2,7,61,ours,28,33,36
249,2,7,61,qiskit transpile,17,17,25
250,2,7,61,Bravyi et al. (qiskit),22,19,28
251,2,7,61,Ewout van den Berg (stim),27,21,44
252,3,7,61,ours,24,29,29
253,3,7,61,qiskit transpile,22,21,18
254,3,7,61,Bravyi et al. (qiskit),9,15,24
255,3,7,61,Ewout van den Berg (stim),20,21,27
256,4,7,61,ours,27,22,19
257,4,7,61,qiskit transpile,22,23,16
258,4,7,61,Bravyi et al. (qiskit),22,25,25
259,4,7,61,Ewout van den Berg (stim),35,23,31
260,5,7,61,ours,30,31,23
261,5,7,61,qiskit transpile,19,21,19
262,5,7,61,Bravyi et al. (qiskit),23,26,34
263,5,7,61,Ewout van den Berg (stim),25,19,30
264,6,7,61,ours,23,28,30
265,6,7,61,qiskit transpile,17,26,16
266,6,7,61,Bravyi et al. (qiskit),18,23,26
267,6,7,61,Ewout van den Berg (stim),27,23,38
268,7,7,61,ours,15,22,19
269,7,7,61,qiskit transpile,27,21,13
270,7,7,61,Bravyi et al. (qiskit),18,20,22
271,7,7,61,Ewout van den Berg (stim),24,27,21
272,8,7,61,ours,26,38,30
273,8,7,61,qiskit transpile,19,19,21
274,8,7,61,Bravyi et al. (qiskit),31,35,38
275,8,7,61,Ewout van den Berg (stim),25,21,32
276,9,7,61,ours,22,30,18
277,9,7,61,qiskit transpile,23,20,18
278,9,7,61,Bravyi et al. (qiskit),20,26,20
279,9,7,61,Ewout van den Berg (stim),21,26,25
280,10,7,61,ours,19,28,15
281,10,7,61,qiskit transpile,20,20,19
282,10,7,61,Bravyi et al. (qiskit),24,26,17
283,10,7,61,Ewout van den Berg (stim),28,31,29
284,11,7,61,ours,22,34,20
285,11,7,61,qiskit transpile,25,21,15
286,11,7,61,Bravyi et al. (qiskit),14,12,23
287,11,7,61,Ewout van den Berg (stim),19,25,21
288,12,7,61,ours,23,34,26
289,12,7,61,qiskit transpile,23,21,17
290,12,7,61,Bravyi et al. (qiskit),21,24,26
291,12,7,61,Ewout van den Berg (stim),18,20,36
292,13,7,61,ours,21,33,24
293,13,7,61,qiskit transpile,14,28,19
294,13,7,61,Bravyi et al. (qiskit),22,22,33
295,13,7,61,Ewout van den Berg (stim),16,22,24
296,14,7,61,ours,28,37,26
297,14,7,61,qiskit transpile,26,23,12
298,14,7,61,Bravyi et al. (qiskit),19,19,16
299,14,7,61,Ewout van den Berg (stim),19,19,16
300,15,7,61,ours,24,32,22
301,15,7,61,qiskit transpile,17,27,13
302,15,7,61,Bravyi et al. (qiskit),24,28,27
303,15,7,61,Ewout van den Berg (stim),32,28,40
304,16,7,61,ours,24,35,28
305,16,7,61,qiskit transpile,22,16,21
306,16,7,61,Bravyi et al. (qiskit),22,26,30
307,16,7,61,Ewout van den Berg (stim),23,26,28
308,17,7,61,ours,25,27,37
309,17,7,61,qiskit transpile,14,20,27
310,17,7,61,Bravyi et al. (qiskit),17,16,29
311,17,7,61,Ewout van den Berg (stim),21,26,36
312,18,7,61,ours,23,23,19
313,18,7,61,qiskit transpile,25,20,16
314,18,7,61,Bravyi et al. (qiskit),20,28,19
315,18,7,61,Ewout van den Berg (stim),20,27,21
316,19,7,61,ours,22,30,21
317,19,7,61,qiskit transpile,17,17,25
318,19,7,61,Bravyi et al. (qiskit),14,15,19
319,19,7,61,Ewout van den Berg (stim),10,19,18
320,0,7,81,ours,27,17,34
321,0,7,81,qiskit transpile,27,26,28
322,0,7,81,Bravyi et al. (qiskit),28,33,35
323,0,7,81,Ewout van den Berg (stim),27,26,42
324,1,7,81,ours,25,30,27
325,1,7,81,qiskit transpile,22,29,30
326,1,7,81,Bravyi et al. (qiskit),22,23,30
327,1,7,81,Ewout van den Berg (stim),27,26,43
328,2,7,81,ours,16,23,26
329,2,7,81,qiskit transpile,29,31,21
330,2,7,81,Bravyi et al. (qiskit),23,26,20
331,2,7,81,Ewout van den Berg (stim),24,27,23
332,3,7,81,ours,20,21,29
333,3,7,81,qiskit transpile,26,28,25
334,3,7,81,Bravyi et al. (qiskit),16,27,29
335,3,7,81,Ewout van den Berg (stim),28,31,47
336,4,7,81,ours,22,28,33
337,4,7,81,qiskit transpile,27,28,22
338,4,7,81,Bravyi et al. (qiskit),26,30,33
339,4,7,81,Ewout van den Berg (stim),21,19,34
340,5,7,81,ours,28,39,33
341,5,7,81,qiskit transpile,29,28,24
342,5,7,81,Bravyi et al. (qiskit),28,29,30
343,5,7,81,Ewout van den Berg (stim),16,21,36
344,6,7,81,ours,32,39,29
345,6,7,81,qiskit transpile,24,26,29
346,6,7,81,Bravyi et al. (qiskit),31,30,37
347,6,7,81,Ewout van den Berg (stim),29,27,41
348,7,7,81,ours,17,30,26
349,7,7,81,qiskit transpile,29,33,17
350,7,7,81,Bravyi et al. (qiskit),20,27,28
351,7,7,81,Ewout van den Berg (stim),31,34,33
352,8,7,81,ours,26,37,32
353,8,7,81,qiskit transpile,25,28,28
354,8,7,81,Bravyi et al. (qiskit),27,31,30
355,8,7,81,Ewout van den Berg (stim),25,24,44
356,9,7,81,ours,28,32,28
357,9,7,81,qiskit transpile,27,28,24
358,9,7,81,Bravyi et al. (qiskit),26,33,27
359,9,7,81,Ewout van den Berg (stim),29,30,31
360,10,7,81,ours,25,28,28
361,10,7,81,qiskit transpile,23,31,27
362,10,7,81,Bravyi et al. (qiskit),23,32,28
363,10,7,81,Ewout van den Berg (stim),33,29,41
364,11,7,81,ours,24,37,32
365,11,7,81,qiskit transpile,25,17,39
366,11,7,81,Bravyi et al. (qiskit),24,30,34
367,11,7,81,Ewout van den Berg (stim),30,36,35
368,12,7,81,ours,27,30,28
369,12,7,81,qiskit transpile,28,23,28
370,12,7,81,Bravyi et al. (qiskit),24,21,28
371,12,7,81,Ewout van den Berg (stim),27,24,41
372,13,7,81,ours,27,21,27
373,13,7,81,qiskit transpile,33,23,25
374,13,7,81,Bravyi et al. (qiskit),28,38,33
375,13,7,81,Ewout van den Berg (stim),24,25,42
376,14,7,81,ours,28,30,31
377,14,7,81,qiskit transpile,20,26,31
378,14,7,81,Bravyi et al. (qiskit),31,25,29
379,14,7,81,Ewout van den Berg (stim),26,21,33
380,15,7,81,ours,30,32,28
381,15,7,81,qiskit transpile,34,22,23
382,15,7,81,Bravyi et al. (qiskit),21,28,24
383,15,7,81,Ewout van den Berg (stim),25,17,32
384,16,7,81,ours,23,39,27
385,16,7,81,qiskit transpile,32,26,23
386,16,7,81,Bravyi et al. (qiskit),27,31,33
387,16,7,81,Ewout van den Berg (stim),25,28,38
388,17,7,81,ours,25,33,28
389,17,7,81,qiskit transpile,29,31,21
390,17,7,81,Bravyi et al. (qiskit),17,25,29
391,17,7,81,Ewout van den Berg (stim),21,27,37
392,18,7,81,ours,20,23,30
393,18,7,81,qiskit transpile,27,21,33
394,18,7,81,Bravyi et al. (qiskit),24,34,33
395,18,7,81,Ewout van den Berg (stim),27,27,39
396,19,7,81,ours,29,28,29
397,19,7,81,qiskit transpile,33,30,18
398,19,7,81,Bravyi et al. (qiskit),25,34,24
399,19,7,81,Ewout van den Berg (stim),23,22,26
400,0,7,101,ours,22,32,30
401,0,7,101,qiskit transpile,41,37,23
402,0,7,101,Bravyi et al. (qiskit),24,22,24
403,0,7,101,Ewout van den Berg (stim),30,18,41
404,1,7,101,ours,24,25,30
405,1,7,101,qiskit transpile,26,42,33
406,1,7,101,Bravyi et al. (qiskit),24,27,33
407,1,7,101,Ewout van den Berg (stim),26,26,42
408,2,7,101,ours,15,25,26
409,2,7,101,qiskit transpile,34,32,31
410,2,7,101,Bravyi et al. (qiskit),30,28,25
411,2,7,101,Ewout van den Berg (stim),29,33,38
412,3,7,101,ours,24,37,29
413,3,7,101,qiskit transpile,38,27,34
414,3,7,101,Bravyi et al. (qiskit),31,39,31
415,3,7,101,Ewout van den Berg (stim),31,36,35
416,4,7,101,ours,21,39,34
417,4,7,101,qiskit transpile,32,34,33
418,4,7,101,Bravyi et al. (qiskit),16,26,31
419,4,7,101,Ewout van den Berg (stim),30,24,38
420,5,7,101,ours,27,32,34
421,5,7,101,qiskit transpile,27,37,37
422,5,7,101,Bravyi et al. (qiskit),25,32,30
423,5,7,101,Ewout van den Berg (stim),29,31,43
424,6,7,101,ours,27,34,30
425,6,7,101,qiskit transpile,39,29,33
426,6,7,101,Bravyi et al. (qiskit),32,40,34
427,6,7,101,Ewout van den Berg (stim),24,25,37
428,7,7,101,ours,25,32,28
429,7,7,101,qiskit transpile,34,30,33
430,7,7,101,Bravyi et al. (qiskit),21,31,30
431,7,7,101,Ewout van den Berg (stim),26,33,37
432,8,7,101,ours,29,32,33
433,8,7,101,qiskit transpile,39,25,35
434,8,7,101,Bravyi et al. (qiskit),17,22,27
435,8,7,101,Ewout van den Berg (stim),25,35,37
436,9,7,101,ours,32,37,39
437,9,7,101,qiskit transpile,41,36,22
438,9,7,101,Bravyi et al. (qiskit),31,21,36
439,9,7,101,Ewout van den Berg (stim),16,22,42
440,10,7,101,ours,28,28,30
441,10,7,101,qiskit transpile,33,38,28
442,10,7,101,Bravyi et al. (qiskit),22,30,33
443,10,7,101,Ewout van den Berg (stim),30,24,42
444,11,7,101,ours,24,31,27
445,11,7,101,qiskit transpile,33,34,34
446,11,7,101,Bravyi et al. (qiskit),26,27,30
447,11,7,101,Ewout van den Berg (stim),25,27,41
448,12,7,101,ours,16,33,25
449,12,7,101,qiskit transpile,42,27,30
450,12,7,101,Bravyi et al. (qiskit),23,24,30
451,12,7,101,Ewout van den Berg (stim),19,23,26
452,13,7,101,ours,26,33,30
453,13,7,101,qiskit transpile,33,28,38
454,13,7,101,Bravyi et al. (qiskit),20,27,31
455,13,7,101,Ewout van den Berg (stim),27,27,41
456,14,7,101,ours,24,32,26
457,14,7,101,qiskit transpile,34,36,29
458,14,7,101,Bravyi et al. (qiskit),20,32,29
459,14,7,101,Ewout van den Berg (stim),31,42,40
460,15,7,101,ours,27,20,36
461,15,7,101,qiskit transpile,30,29,42
462,15,7,101,Bravyi et al. (qiskit),20,27,33
463,15,7,101,Ewout van den Berg (stim),20,30,38
464,16,7,101,ours,27,35,28
465,16,7,101,qiskit transpile,31,38,32
466,16,7,101,Bravyi et al. (qiskit),17,29,28
467,16,7,101,Ewout van den Berg (stim),20,27,35
468,17,7,101,ours,26,25,35
469,17,7,101,qiskit transpile,34,31,34
470,17,7,101,Bravyi et al. (qiskit),29,35,38
471,17,7,101,Ewout van den Berg (stim),30,26,42
472,18,7,101,ours,24,35,31
473,18,7,101,qiskit transpile,33,31,37
474,18,7,101,Bravyi et al. (qiskit),29,21,33
475,18,7,101,Ewout van den Berg (stim),23,19,34
476,19,7,101,ours,32,28,32
477,19,7,101,qiskit transpile,38,27,36
478,19,7,101,Bravyi et al. (qiskit),28,31,39
479,19,7,101,Ewout van den Berg (stim),29,25,40
480,0,7,121,ours,31,35,30
481,0,7,121,qiskit transpile,42,46,33
482,0,7,121,Bravyi et al. (qiskit),28,33,35
483,0,7,121,Ewout van den Berg (stim),28,31,43
484,1,7,121,ours,27,26,31
485,1,7,121,qiskit transpile,40,47,34
486,1,7,121,Bravyi et al. (qiskit),28,23,34
487,1,7,121,Ewout van den Berg (stim),26,29,43
488,2,7,121,ours,26,33,28
489,2,7,121,qiskit transpile,38,41,40
