,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
75,12,16,1,Ewout van den Berg (stim),1,0,0,0.01251983642578125,1,1
76,12,16,1,Duncan et al (pyzx),1,0,0,0.01141214370727539,1,1
77,12,16,1,Maslov et al,31,0,834,0.13044142723083496,205,205
78,13,16,1,ours,0,1,0,0.038290977478027344,2,2
79,13,16,1,qiskit transpile,0,1,0,0.007654905319213867,1,1
80,13,16,1,Bravyi et al. (qiskit),0,1,0,0.010255098342895508,1,1
81,13,16,1,Ewout van den Berg (stim),0,1,0,0.01238393783569336,1,1
82,13,16,1,Duncan et al (pyzx),0,1,0,0.009191274642944336,1,1
83,13,16,1,Maslov et al,32,1,837,0.10068011283874512,214,214
84,14,16,1,ours,0,1,0,0.051923274993896484,2,2
85,14,16,1,qiskit transpile,0,1,0,0.006014823913574219,1,1
86,14,16,1,Bravyi et al. (qiskit),0,1,0,0.0069539546966552734,1,1
87,14,16,1,Ewout van den Berg (stim),0,1,0,0.006219148635864258,1,1
88,14,16,1,Duncan et al (pyzx),0,1,0,0.008025169372558594,1,1
89,14,16,1,Maslov et al,32,1,834,0.0939178466796875,207,207
90,15,16,1,ours,0,0,1,0.033245086669921875,2,2
91,15,16,1,qiskit transpile,0,0,1,0.005525112152099609,1,1
92,15,16,1,Bravyi et al. (qiskit),0,0,1,0.008996963500976562,1,1
93,15,16,1,Ewout van den Berg (stim),0,0,1,0.012703895568847656,1,1
94,15,16,1,Duncan et al (pyzx),0,0,1,0.020952939987182617,1,1
95,15,16,1,Maslov et al,32,0,833,0.23028111457824707,205,205
96,16,16,1,ours,0,0,1,0.042092084884643555,2,2
97,16,16,1,qiskit transpile,0,0,1,0.009054899215698242,1,1
98,16,16,1,Bravyi et al. (qiskit),0,0,1,0.01037907600402832,1,1
99,16,16,1,Ewout van den Berg (stim),0,0,1,0.011385202407836914,1,1
100,16,16,1,Duncan et al (pyzx),4,0,1,0.018636226654052734,3,3
101,16,16,1,Maslov et al,32,0,838,0.13830995559692383,211,211
102,17,16,1,ours,1,0,0,0.03416919708251953,2,2
103,17,16,1,qiskit transpile,1,0,0,0.005575895309448242,1,1
104,17,16,1,Bravyi et al. (qiskit),1,0,0,0.013049840927124023,1,1
105,17,16,1,Ewout van den Berg (stim),1,0,0,0.012077093124389648,1,1
106,17,16,1,Duncan et al (pyzx),1,0,0,0.01203298568725586,1,1
107,17,16,1,Maslov et al,31,0,834,0.1180260181427002,201,201
108,18,16,1,ours,1,0,0,0.0572819709777832,2,2
109,18,16,1,qiskit transpile,1,0,0,0.0067861080169677734,1,1
110,18,16,1,Bravyi et al. (qiskit),1,0,0,0.011056184768676758,1,1
111,18,16,1,Ewout van den Berg (stim),1,0,0,0.009563207626342773,1,1
112,18,16,1,Duncan et al (pyzx),1,0,0,0.008404016494750977,1,1
113,18,16,1,Maslov et al,31,0,837,0.16537690162658691,202,202
114,19,16,1,ours,1,0,0,0.03535723686218262,2,2
115,19,16,1,qiskit transpile,1,0,0,0.005225419998168945,1,1
116,19,16,1,Bravyi et al. (qiskit),1,0,0,0.006714820861816406,1,1
117,19,16,1,Ewout van den Berg (stim),1,0,0,0.0071179866790771484,1,1
118,19,16,1,Duncan et al (pyzx),1,0,0,0.008651018142700195,1,1
119,19,16,1,Maslov et al,31,0,834,0.10347199440002441,205,205
120,0,16,21,ours,22,25,6,0.07657122611999512,16,16
121,0,16,21,qiskit transpile,7,7,5,0.03481912612915039,4,4
122,0,16,21,Bravyi et al. (qiskit),11,15,5,0.04673504829406738,11,11
123,0,16,21,Ewout van den Berg (stim),11,15,5,0.04487919807434082,11,11
124,0,16,21,Duncan et al (pyzx),11,7,5,0.03904104232788086,6,6
125,0,16,21,Maslov et al,25,15,856,0.10489988327026367,231,231
126,1,16,21,ours,11,19,9,0.03577589988708496,15,15
127,1,16,21,qiskit transpile,3,11,5,0.009572029113769531,5,5
128,1,16,21,Bravyi et al. (qiskit),11,14,11,0.01846003532409668,16,16
129,1,16,21,Ewout van den Berg (stim),13,15,11,0.015176057815551758,15,15
130,1,16,21,Duncan et al (pyzx),16,16,5,0.02008223533630371,12,12
131,1,16,21,Maslov et al,33,76,900,0.15245699882507324,275,275
132,2,16,21,ours,5,15,10,0.03802204132080078,14,14
133,2,16,21,qiskit transpile,3,12,12,0.009836912155151367,12,12
134,2,16,21,Bravyi et al. (qiskit),7,24,30,0.014703989028930664,26,26
135,2,16,21,Ewout van den Berg (stim),7,24,27,0.01614212989807129,26,26
136,2,16,21,Duncan et al (pyzx),16,20,14,0.020708799362182617,29,29
137,2,16,21,Maslov et al,29,58,862,0.10381793975830078,234,234
138,3,16,21,ours,27,46,58,0.04780697822570801,54,54
139,3,16,21,qiskit transpile,5,6,10,0.013286828994750977,5,5
140,3,16,21,Bravyi et al. (qiskit),12,10,23,0.013300895690917969,22,22
141,3,16,21,Ewout van den Berg (stim),12,10,27,0.0168759822845459,20,20
142,3,16,21,Duncan et al (pyzx),19,6,12,0.03151988983154297,10,10
143,3,16,21,Maslov et al,27,34,885,0.1463768482208252,248,248
144,4,16,21,ours,9,9,5,0.04099082946777344,9,9
145,4,16,21,qiskit transpile,3,7,5,0.03375601768493652,5,5
146,4,16,21,Bravyi et al. (qiskit),3,7,9,0.012608051300048828,9,9
147,4,16,21,Ewout van den Berg (stim),3,7,9,0.014637947082519531,9,9
148,4,16,21,Duncan et al (pyzx),19,7,5,0.03947114944458008,7,7
149,4,16,21,Maslov et al,31,7,918,0.10882997512817383,244,244
150,5,16,21,ours,18,25,13,0.038979291915893555,26,26
151,5,16,21,qiskit transpile,5,7,7,0.03171277046203613,4,4
152,5,16,21,Bravyi et al. (qiskit),9,8,8,0.056388139724731445,6,6
153,5,16,21,Ewout van den Berg (stim),9,8,8,0.0405271053314209,6,6
154,5,16,21,Duncan et al (pyzx),15,7,7,0.04460430145263672,6,6
155,5,16,21,Maslov et al,29,79,891,0.11622500419616699,251,251
156,6,16,21,ours,17,26,18,0.0413358211517334,23,23
157,6,16,21,qiskit transpile,6,6,9,0.05071210861206055,4,4
158,6,16,21,Bravyi et al. (qiskit),10,23,18,0.013895750045776367,17,17
159,6,16,21,Ewout van den Berg (stim),10,23,18,0.014475822448730469,18,18
160,6,16,21,Duncan et al (pyzx),11,11,13,0.01790904998779297,10,10
161,6,16,21,Maslov et al,26,41,880,0.09639883041381836,262,262
162,7,16,21,ours,13,15,11,0.037766218185424805,13,13
163,7,16,21,qiskit transpile,5,8,6,0.03407788276672363,3,3
164,7,16,21,Bravyi et al. (qiskit),9,9,11,0.01914691925048828,10,10
165,7,16,21,Ewout van den Berg (stim),9,9,11,0.027103185653686523,12,12
166,7,16,21,Duncan et al (pyzx),11,8,6,0.04351687431335449,5,5
167,7,16,21,Maslov et al,27,83,866,0.1298971176147461,249,249
168,8,16,21,ours,14,23,22,0.03923201560974121,26,26
169,8,16,21,qiskit transpile,3,9,7,0.02920818328857422,4,4
170,8,16,21,Bravyi et al. (qiskit),5,10,18,0.016321182250976562,11,11
171,8,16,21,Ewout van den Berg (stim),5,10,15,0.020810842514038086,14,14
172,8,16,21,Duncan et al (pyzx),13,9,11,0.04335308074951172,12,12
173,8,16,21,Maslov et al,29,38,848,0.20120882987976074,227,227
174,9,16,21,ours,24,24,30,0.04299116134643555,44,44
175,9,16,21,qiskit transpile,6,5,8,0.03711581230163574,4,4
176,9,16,21,Bravyi et al. (qiskit),14,5,22,0.0117340087890625,16,16
177,9,16,21,Ewout van den Berg (stim),14,5,21,0.019011974334716797,15,15
178,9,16,21,Duncan et al (pyzx),8,5,8,0.08605813980102539,5,5
179,9,16,21,Maslov et al,26,25,826,0.0927739143371582,213,213
180,10,16,21,ours,13,16,53,0.04290199279785156,37,37
181,10,16,21,qiskit transpile,6,5,8,0.04012012481689453,4,4
182,10,16,21,Bravyi et al. (qiskit),8,5,8,0.05029797554016113,5,5
183,10,16,21,Ewout van den Berg (stim),8,5,8,0.04277825355529785,5,5
184,10,16,21,Duncan et al (pyzx),19,10,8,0.04375195503234863,12,12
185,10,16,21,Maslov et al,26,34,870,0.10064291954040527,233,233
186,11,16,21,ours,18,25,33,0.03833413124084473,39,39
187,11,16,21,qiskit transpile,7,6,8,0.009292840957641602,5,5
188,11,16,21,Bravyi et al. (qiskit),13,7,18,0.01603412628173828,14,14
189,11,16,21,Ewout van den Berg (stim),13,7,22,0.01517796516418457,18,18
190,11,16,21,Duncan et al (pyzx),19,6,21,0.0239410400390625,21,21
191,11,16,21,Maslov et al,25,70,856,0.10647916793823242,244,244
192,12,16,21,ours,7,8,17,0.039483070373535156,17,17
193,12,16,21,qiskit transpile,6,6,7,0.03434109687805176,4,4
194,12,16,21,Bravyi et al. (qiskit),8,6,7,0.03872084617614746,7,7
195,12,16,21,Ewout van den Berg (stim),8,6,7,0.037199974060058594,7,7
196,12,16,21,Duncan et al (pyzx),14,6,7,0.03887200355529785,6,6
197,12,16,21,Maslov et al,26,20,864,0.09806680679321289,232,232
198,13,16,21,ours,25,26,59,0.046904802322387695,53,53
199,13,16,21,qiskit transpile,4,8,9,0.022883176803588867,6,6
200,13,16,21,Bravyi et al. (qiskit),6,9,12,0.01103067398071289,17,17
201,13,16,21,Ewout van den Berg (stim),18,13,33,0.016983747482299805,38,38
202,13,16,21,Duncan et al (pyzx),16,8,19,0.018526077270507812,16,16
203,13,16,21,Maslov et al,28,112,907,0.11084437370300293,282,282
204,14,16,21,ours,12,15,4,0.03891897201538086,9,9
205,14,16,21,qiskit transpile,6,9,4,0.027458906173706055,3,3
206,14,16,21,Bravyi et al. (qiskit),6,9,4,0.03225994110107422,3,3
207,14,16,21,Ewout van den Berg (stim),6,9,4,0.038675785064697266,3,3
208,14,16,21,Duncan et al (pyzx),12,9,4,0.03460192680358887,4,4
209,14,16,21,Maslov et al,26,16,839,0.0983269214630127,213,213
210,15,16,21,ours,13,19,5,0.03820395469665527,15,15
211,15,16,21,qiskit transpile,5,10,4,0.03165602684020996,5,5
212,15,16,21,Bravyi et al. (qiskit),5,12,4,0.03805184364318848,8,8
213,15,16,21,Ewout van den Berg (stim),5,12,4,0.03722190856933594,8,8
214,15,16,21,Duncan et al (pyzx),7,10,4,0.037117958068847656,5,5
215,15,16,21,Maslov et al,31,45,845,0.09186601638793945,245,245
216,16,16,21,ours,19,22,6,0.035819053649902344,15,15
217,16,16,21,qiskit transpile,7,9,5,0.015000104904174805,4,4
218,16,16,21,Bravyi et al. (qiskit),9,8,10,0.01327824592590332,8,8
219,16,16,21,Ewout van den Berg (stim),9,8,8,0.018925905227661133,6,6
220,16,16,21,Duncan et al (pyzx),19,10,6,0.03031301498413086,9,9
221,16,16,21,Maslov et al,25,15,864,0.11792421340942383,237,237
222,17,16,21,ours,9,13,27,0.04047584533691406,24,24
223,17,16,21,qiskit transpile,5,6,10,0.0075800418853759766,6,6
224,17,16,21,Bravyi et al. (qiskit),5,6,27,0.014182806015014648,21,21
225,17,16,21,Ewout van den Berg (stim),5,6,24,0.015025854110717773,17,17
226,17,16,21,Duncan et al (pyzx),17,6,25,0.02652907371520996,26,26
227,17,16,21,Maslov et al,27,71,850,0.12140393257141113,249,249
228,18,16,21,ours,22,19,20,0.04516196250915527,24,24
229,18,16,21,qiskit transpile,6,6,7,0.032631635665893555,4,4
230,18,16,21,Bravyi et al. (qiskit),6,6,11,0.01176595687866211,9,9
231,18,16,21,Ewout van den Berg (stim),6,6,11,0.018090009689331055,8,8
232,18,16,21,Duncan et al (pyzx),18,6,7,0.04091596603393555,6,6
233,18,16,21,Maslov et al,26,30,934,0.11642003059387207,309,309
234,19,16,21,ours,5,15,15,0.03843998908996582,14,14
235,19,16,21,qiskit transpile,3,9,5,0.018642187118530273,4,4
236,19,16,21,Bravyi et al. (qiskit),3,9,13,0.013944864273071289,10,10
237,19,16,21,Ewout van den Berg (stim),5,8,16,0.014744043350219727,14,14
238,19,16,21,Duncan et al (pyzx),15,10,12,0.019156932830810547,20,20
239,19,16,21,Maslov et al,29,24,858,0.09624695777893066,223,223
240,0,16,41,ours,38,43,57,0.044133901596069336,55,55
241,0,16,41,qiskit transpile,6,18,28,0.009286165237426758,17,17
242,0,16,41,Bravyi et al. (qiskit),22,31,47,0.015954017639160156,29,29
243,0,16,41,Ewout van den Berg (stim),24,32,47,0.017979145050048828,28,28
244,0,16,41,Duncan et al (pyzx),20,21,25,0.024071931838989258,19,19
245,0,16,41,Maslov et al,30,69,826,0.09154391288757324,219,219
246,1,16,41,ours,31,37,70,0.04628801345825195,62,62
247,1,16,41,qiskit transpile,7,13,30,0.00914311408996582,20,20
248,1,16,41,Bravyi et al. (qiskit),19,27,60,0.01728677749633789,52,52
249,1,16,41,Ewout van den Berg (stim),17,26,56,0.02211785316467285,44,44
250,1,16,41,Duncan et al (pyzx),46,34,68,0.02991008758544922,45,45
251,1,16,41,Maslov et al,30,91,872,0.10193300247192383,246,246
252,2,16,41,ours,45,45,127,0.0534520149230957,96,96
253,2,16,41,qiskit transpile,12,12,42,0.009585380554199219,24,24
254,2,16,41,Bravyi et al. (qiskit),21,13,68,0.016479969024658203,46,46
255,2,16,41,Ewout van den Berg (stim),21,13,68,0.03204679489135742,43,43
256,2,16,41,Duncan et al (pyzx),34,12,58,0.029229164123535156,36,36
257,2,16,41,Maslov et al,27,258,869,0.14331865310668945,290,290
258,3,16,41,ours,22,32,34,0.04736590385437012,27,27
259,3,16,41,qiskit transpile,9,13,23,0.009884834289550781,19,19
260,3,16,41,Bravyi et al. (qiskit),16,20,37,0.020054101943969727,27,27
261,3,16,41,Ewout van den Berg (stim),16,20,30,0.021338939666748047,24,24
262,3,16,41,Duncan et al (pyzx),36,18,26,0.028095006942749023,32,32
263,3,16,41,Maslov et al,28,99,909,0.10908985137939453,273,273
264,4,16,41,ours,40,47,128,0.13014984130859375,86,86
265,4,16,41,qiskit transpile,9,14,32,0.009546995162963867,18,18
266,4,16,41,Bravyi et al. (qiskit),26,20,66,0.018870115280151367,57,57
267,4,16,41,Ewout van den Berg (stim),17,20,45,0.02061176300048828,45,45
268,4,16,41,Duncan et al (pyzx),28,23,44,0.023859024047851562,47,47
269,4,16,41,Maslov et al,30,151,880,0.11115503311157227,281,281
270,5,16,41,ours,37,38,39,0.04562091827392578,28,28
271,5,16,41,qiskit transpile,12,11,10,0.03604292869567871,8,8
272,5,16,41,Bravyi et al. (qiskit),21,22,25,0.01632380485534668,22,22
273,5,16,41,Ewout van den Berg (stim),21,22,22,0.022340059280395508,22,22
274,5,16,41,Duncan et al (pyzx),23,8,17,0.025410175323486328,14,14
275,5,16,41,Maslov et al,26,113,867,0.1309680938720703,257,257
276,6,16,41,ours,22,37,20,0.03833818435668945,30,30
277,6,16,41,qiskit transpile,7,17,7,0.029197216033935547,5,5
278,6,16,41,Bravyi et al. (qiskit),15,18,12,0.013786077499389648,12,12
279,6,16,41,Ewout van den Berg (stim),13,18,8,0.040467023849487305,10,10
280,6,16,41,Duncan et al (pyzx),22,22,7,0.044879913330078125,13,13
281,6,16,41,Maslov et al,27,73,854,0.12927007675170898,230,230
282,7,16,41,ours,49,55,67,0.04702901840209961,68,68
283,7,16,41,qiskit transpile,12,13,37,0.010489940643310547,23,23
284,7,16,41,Bravyi et al. (qiskit),27,35,53,0.027009963989257812,47,47
285,7,16,41,Ewout van den Berg (stim),29,34,105,0.02931809425354004,72,72
286,7,16,41,Duncan et al (pyzx),37,17,58,0.02905893325805664,38,38
287,7,16,41,Maslov et al,29,161,889,0.12462377548217773,307,307
288,8,16,41,ours,39,46,107,0.04996514320373535,79,79
289,8,16,41,qiskit transpile,9,13,34,0.009762048721313477,21,21
290,8,16,41,Bravyi et al. (qiskit),26,35,47,0.017829179763793945,38,38
291,8,16,41,Ewout van den Berg (stim),28,37,59,0.02681899070739746,59,59
292,8,16,41,Duncan et al (pyzx),40,20,52,0.03065800666809082,46,46
293,8,16,41,Maslov et al,32,165,898,0.1441819667816162,274,274
294,9,16,41,ours,38,52,134,0.057267189025878906,107,107
295,9,16,41,qiskit transpile,9,9,54,0.01318502426147461,27,27
296,9,16,41,Bravyi et al. (qiskit),21,13,94,0.022706985473632812,61,61
297,9,16,41,Ewout van den Berg (stim),43,28,217,0.03931689262390137,158,158
298,9,16,41,Duncan et al (pyzx),72,25,149,0.04356980323791504,114,114
299,9,16,41,Maslov et al,33,273,968,0.13910889625549316,306,306
300,10,16,41,ours,28,34,71,0.1696028709411621,60,60
301,10,16,41,qiskit transpile,10,14,42,0.014154195785522461,22,22
302,10,16,41,Bravyi et al. (qiskit),24,28,72,0.02394700050354004,54,54
303,10,16,41,Ewout van den Berg (stim),33,28,142,0.027654170989990234,94,94
304,10,16,41,Duncan et al (pyzx),46,19,77,0.03911113739013672,46,46
305,10,16,41,Maslov et al,26,161,897,0.14775300025939941,266,266
306,11,16,41,ours,47,56,147,0.06334996223449707,109,109
307,11,16,41,qiskit transpile,7,11,51,0.010538816452026367,28,28
308,11,16,41,Bravyi et al. (qiskit),19,20,86,0.021250009536743164,74,74
309,11,16,41,Ewout van den Berg (stim),25,26,93,0.04820108413696289,55,55
310,11,16,41,Duncan et al (pyzx),54,21,108,0.04570293426513672,100,100
311,11,16,41,Maslov et al,25,175,918,0.2104780673980713,287,287
312,12,16,41,ours,37,30,101,0.08597087860107422,78,78
313,12,16,41,qiskit transpile,7,9,47,0.01278066635131836,20,20
314,12,16,41,Bravyi et al. (qiskit),19,16,81,0.025438785552978516,54,54
315,12,16,41,Ewout van den Berg (stim),17,15,75,0.020264863967895508,44,44
316,12,16,41,Duncan et al (pyzx),50,23,91,0.03785896301269531,61,61
317,12,16,41,Maslov et al,25,214,952,0.14744210243225098,302,302
318,13,16,41,ours,39,49,73,0.04795122146606445,66,66
319,13,16,41,qiskit transpile,9,18,26,0.009564876556396484,20,20
320,13,16,41,Bravyi et al. (qiskit),25,32,62,0.024423837661743164,54,54
321,13,16,41,Ewout van den Berg (stim),26,33,64,0.024740934371948242,36,36
322,13,16,41,Duncan et al (pyzx),36,22,51,0.032798051834106445,42,42
323,13,16,41,Maslov et al,29,99,918,0.11263060569763184,282,282
324,14,16,41,ours,40,43,83,0.045747995376586914,78,78
325,14,16,41,qiskit transpile,13,17,11,0.0374910831451416,10,10
326,14,16,41,Bravyi et al. (qiskit),25,22,32,0.019006967544555664,27,27
327,14,16,41,Ewout van den Berg (stim),27,22,33,0.019970178604125977,36,36
328,14,16,41,Duncan et al (pyzx),17,13,15,0.04343914985656738,11,11
329,14,16,41,Maslov et al,28,116,875,0.18007278442382812,251,251
330,15,16,41,ours,41,54,110,0.06337976455688477,81,81
331,15,16,41,qiskit transpile,7,14,23,0.009145975112915039,8,8
332,15,16,41,Bravyi et al. (qiskit),18,19,45,0.018499135971069336,24,24
333,15,16,41,Ewout van den Berg (stim),16,20,78,0.022420883178710938,52,52
334,15,16,41,Duncan et al (pyzx),33,14,39,0.027384042739868164,23,23
335,15,16,41,Maslov et al,29,123,900,0.11528801918029785,259,259
336,16,16,41,ours,31,39,109,0.2911090850830078,75,75
337,16,16,41,qiskit transpile,13,9,41,0.0695641040802002,24,24
338,16,16,41,Bravyi et al. (qiskit),29,27,64,0.01653599739074707,63,63
339,16,16,41,Ewout van den Berg (stim),38,31,150,0.027634143829345703,101,101
340,16,16,41,Duncan et al (pyzx),33,22,50,0.03310513496398926,39,39
341,16,16,41,Maslov et al,24,199,967,0.23252081871032715,300,300
342,17,16,41,ours,34,34,65,0.06513190269470215,59,59
343,17,16,41,qiskit transpile,10,11,29,0.010885000228881836,16,16
344,17,16,41,Bravyi et al. (qiskit),21,21,61,0.04179191589355469,50,50
345,17,16,41,Ewout van den Berg (stim),23,21,72,0.020041942596435547,54,54
346,17,16,41,Duncan et al (pyzx),28,13,29,0.02271890640258789,18,18
347,17,16,41,Maslov et al,31,128,882,0.10764217376708984,254,254
348,18,16,41,ours,26,45,70,0.061969757080078125,71,71
349,18,16,41,qiskit transpile,3,18,21,0.011237859725952148,10,10
350,18,16,41,Bravyi et al. (qiskit),15,19,46,0.021300077438354492,32,32
351,18,16,41,Ewout van den Berg (stim),15,18,42,0.021422863006591797,24,24
352,18,16,41,Duncan et al (pyzx),30,23,28,0.028707265853881836,24,24
353,18,16,41,Maslov et al,29,80,919,0.15618419647216797,267,267
354,19,16,41,ours,37,41,75,0.06838321685791016,56,56
355,19,16,41,qiskit transpile,8,16,33,0.03990602493286133,19,19
356,19,16,41,Bravyi et al. (qiskit),32,25,51,0.015623092651367188,58,58
357,19,16,41,Ewout van den Berg (stim),49,37,133,0.02705526351928711,107,107
