,n_rep,num_qubits,n_gadgets,method,h,s,cx
138,6,7,11,tableau,8,10,20
139,6,7,11,qiskit,5,0,9
140,6,7,11,qiskit_tableau,5,0,12
141,7,7,11,tableau,6,8,16
142,7,7,11,qiskit,3,0,20
143,7,7,11,qiskit_tableau,3,0,14
144,8,7,11,tableau,7,10,18
145,8,7,11,qiskit,5,0,9
146,8,7,11,qiskit_tableau,5,0,14
147,9,7,11,tableau,5,6,14
148,9,7,11,qiskit,4,0,13
149,9,7,11,qiskit_tableau,6,0,13
150,10,7,11,tableau,14,12,21
151,10,7,11,qiskit,4,0,16
152,10,7,11,qiskit_tableau,2,0,13
153,11,7,11,tableau,21,14,24
154,11,7,11,qiskit,4,0,16
155,11,7,11,qiskit_tableau,6,0,17
156,12,7,11,tableau,17,10,23
157,12,7,11,qiskit,4,0,16
158,12,7,11,qiskit_tableau,8,0,17
159,13,7,11,tableau,7,0,2
160,13,7,11,qiskit,9,0,2
161,13,7,11,qiskit_tableau,7,0,2
162,14,7,11,tableau,6,0,15
163,14,7,11,qiskit,4,0,13
164,14,7,11,qiskit_tableau,2,7,16
165,15,7,11,tableau,7,0,17
166,15,7,11,qiskit,7,0,7
167,15,7,11,qiskit_tableau,7,0,8
168,16,7,11,tableau,4,0,1
169,16,7,11,qiskit,8,0,3
170,16,7,11,qiskit_tableau,4,0,1
171,17,7,11,tableau,6,0,6
172,17,7,11,qiskit,4,0,8
173,17,7,11,qiskit_tableau,6,0,13
174,18,7,11,tableau,3,0,4
175,18,7,11,qiskit,7,0,4
176,18,7,11,qiskit_tableau,3,0,8
177,19,7,11,tableau,12,15,12
178,19,7,11,qiskit,4,0,13
179,19,7,11,qiskit_tableau,6,2,17
180,0,7,16,tableau,15,12,27
181,0,7,16,qiskit,7,0,18
182,0,7,16,qiskit_tableau,13,11,33
183,1,7,16,tableau,9,8,14
184,1,7,16,qiskit,8,0,14
185,1,7,16,qiskit_tableau,6,0,24
186,2,7,16,tableau,10,19,25
187,2,7,16,qiskit,8,0,20
188,2,7,16,qiskit_tableau,12,0,29
189,3,7,16,tableau,13,14,18
190,3,7,16,qiskit,7,0,18
191,3,7,16,qiskit_tableau,11,0,23
192,4,7,16,tableau,17,17,20
193,4,7,16,qiskit,4,0,22
194,4,7,16,qiskit_tableau,8,7,19
195,5,7,16,tableau,12,15,27
196,5,7,16,qiskit,8,0,17
197,5,7,16,qiskit_tableau,8,0,29
198,6,7,16,tableau,9,2,6
199,6,7,16,qiskit,7,0,10
200,6,7,16,qiskit_tableau,7,2,9
201,7,7,16,tableau,11,8,10
202,7,7,16,qiskit,10,0,9
203,7,7,16,qiskit_tableau,8,2,16
204,8,7,16,tableau,19,21,26
205,8,7,16,qiskit,8,0,14
206,8,7,16,qiskit_tableau,8,0,20
207,9,7,16,tableau,7,8,9
208,9,7,16,qiskit,8,0,14
209,9,7,16,qiskit_tableau,6,2,10
210,10,7,16,tableau,12,10,15
211,10,7,16,qiskit,11,0,8
212,10,7,16,qiskit_tableau,5,0,11
213,11,7,16,tableau,14,10,19
214,11,7,16,qiskit,6,0,17
215,11,7,16,qiskit_tableau,21,15,46
216,12,7,16,tableau,8,6,20
217,12,7,16,qiskit,5,0,23
218,12,7,16,qiskit_tableau,13,5,30
219,13,7,16,tableau,3,0,8
220,13,7,16,qiskit,9,0,14
221,13,7,16,qiskit_tableau,5,0,7
222,14,7,16,tableau,15,17,16
223,14,7,16,qiskit,8,0,11
224,14,7,16,qiskit_tableau,6,0,13
225,15,7,16,tableau,5,0,3
226,15,7,16,qiskit,13,0,3
227,15,7,16,qiskit_tableau,5,0,3
228,16,7,16,tableau,12,8,10
229,16,7,16,qiskit,9,0,13
230,16,7,16,qiskit_tableau,7,0,13
231,17,7,16,tableau,13,7,15
232,17,7,16,qiskit,8,0,12
233,17,7,16,qiskit_tableau,6,0,17
234,18,7,16,tableau,8,6,11
235,18,7,16,qiskit,11,0,8
236,18,7,16,qiskit_tableau,9,7,13
237,19,7,16,tableau,7,0,19
238,19,7,16,qiskit,5,0,18
239,19,7,16,qiskit_tableau,16,16,26
240,0,7,21,tableau,17,14,30
241,0,7,21,qiskit,10,0,27
242,0,7,21,qiskit_tableau,16,11,51
243,1,7,21,tableau,15,12,27
244,1,7,21,qiskit,11,0,22
245,1,7,21,qiskit_tableau,9,0,48
246,2,7,21,tableau,4,0,35
247,2,7,21,qiskit,8,0,26
248,2,7,21,qiskit_tableau,4,0,21
249,3,7,21,tableau,19,21,25
250,3,7,21,qiskit,10,0,18
251,3,7,21,qiskit_tableau,12,0,28
252,4,7,21,tableau,15,2,23
253,4,7,21,qiskit,9,0,28
254,4,7,21,qiskit_tableau,15,5,31
255,5,7,21,tableau,15,19,20
256,5,7,21,qiskit,9,0,22
257,5,7,21,qiskit_tableau,9,0,44
258,6,7,21,tableau,20,19,19
259,6,7,21,qiskit,12,0,19
260,6,7,21,qiskit_tableau,17,12,23
261,7,7,21,tableau,8,8,15
262,7,7,21,qiskit,10,0,20
263,7,7,21,qiskit_tableau,6,0,30
