,n_rep,num_qubits,n_gadgets,method,h,s,cx
134,4,5,11,qiskit_tableau,6,0,11
135,5,5,11,tableau,2,0,3
136,5,5,11,tableau_imp,8,16,11
137,5,5,11,qiskit_tableau,8,0,3
138,6,5,11,tableau,3,0,4
139,6,5,11,tableau_imp,3,0,4
140,6,5,11,qiskit_tableau,7,0,4
141,7,5,11,tableau,9,7,8
142,7,5,11,tableau_imp,9,7,8
143,7,5,11,qiskit_tableau,7,0,4
144,8,5,11,tableau,13,18,15
145,8,5,11,tableau_imp,11,14,16
146,8,5,11,qiskit_tableau,3,0,14
147,9,5,11,tableau,5,0,8
148,9,5,11,tableau_imp,5,0,8
149,9,5,11,qiskit_tableau,5,0,9
150,10,5,11,tableau,5,0,4
151,10,5,11,tableau_imp,9,6,4
152,10,5,11,qiskit_tableau,5,0,4
153,11,5,11,tableau,10,8,7
154,11,5,11,tableau_imp,3,0,12
155,11,5,11,qiskit_tableau,7,0,7
156,12,5,11,tableau,9,17,4
157,12,5,11,tableau_imp,9,17,4
158,12,5,11,qiskit_tableau,1,0,13
159,13,5,11,tableau,8,4,8
160,13,5,11,tableau_imp,9,10,6
161,13,5,11,qiskit_tableau,5,0,9
162,14,5,11,tableau,4,0,5
163,14,5,11,tableau_imp,4,0,5
164,14,5,11,qiskit_tableau,6,0,8
165,15,5,11,tableau,5,0,10
166,15,5,11,tableau_imp,15,14,17
167,15,5,11,qiskit_tableau,7,0,7
168,16,5,11,tableau,4,0,9
169,16,5,11,tableau_imp,4,0,11
170,16,5,11,qiskit_tableau,4,0,10
171,17,5,11,tableau,3,0,2
172,17,5,11,tableau_imp,3,0,2
173,17,5,11,qiskit_tableau,7,0,2
174,18,5,11,tableau,6,0,5
175,18,5,11,tableau_imp,6,0,7
176,18,5,11,qiskit_tableau,6,0,5
177,19,5,11,tableau,4,0,7
178,19,5,11,tableau_imp,4,0,7
179,19,5,11,qiskit_tableau,8,0,3
180,0,5,16,tableau,9,7,17
181,0,5,16,tableau_imp,7,0,18
182,0,5,16,qiskit_tableau,7,0,13
183,1,5,16,tableau,8,15,9
184,1,5,16,tableau_imp,8,15,10
185,1,5,16,qiskit_tableau,9,0,16
186,2,5,16,tableau,14,14,22
187,2,5,16,tableau_imp,22,17,17
188,2,5,16,qiskit_tableau,8,0,17
189,3,5,16,tableau,10,9,19
190,3,5,16,tableau_imp,17,24,17
191,3,5,16,qiskit_tableau,4,0,24
192,4,5,16,tableau,8,8,8
193,4,5,16,tableau_imp,4,2,10
194,4,5,16,qiskit_tableau,9,0,10
195,5,5,16,tableau,13,13,12
196,5,5,16,tableau_imp,11,20,15
197,5,5,16,qiskit_tableau,8,0,11
198,6,5,16,tableau,3,0,3
199,6,5,16,tableau_imp,3,0,3
200,6,5,16,qiskit_tableau,13,0,3
201,7,5,16,tableau,7,10,12
202,7,5,16,tableau_imp,10,14,14
203,7,5,16,qiskit_tableau,5,0,17
204,8,5,16,tableau,7,12,10
205,8,5,16,tableau_imp,10,9,14
206,8,5,16,qiskit_tableau,9,0,10
207,9,5,16,tableau,14,18,10
208,9,5,16,tableau_imp,16,17,15
209,9,5,16,qiskit_tableau,6,0,17
210,10,5,16,tableau,3,0,8
211,10,5,16,tableau_imp,3,0,8
212,10,5,16,qiskit_tableau,9,0,8
213,11,5,16,tableau,12,9,15
214,11,5,16,tableau_imp,7,0,16
215,11,5,16,qiskit_tableau,7,0,15
216,12,5,16,tableau,4,0,5
217,12,5,16,tableau_imp,4,0,5
218,12,5,16,qiskit_tableau,12,0,4
219,13,5,16,tableau,16,11,9
220,13,5,16,tableau_imp,10,6,14
221,13,5,16,qiskit_tableau,8,0,9
222,14,5,16,tableau,10,10,12
223,14,5,16,tableau_imp,9,6,11
224,14,5,16,qiskit_tableau,4,0,27
225,15,5,16,tableau,8,10,3
226,15,5,16,tableau_imp,2,2,2
227,15,5,16,qiskit_tableau,13,0,6
228,16,5,16,tableau,12,11,10
229,16,5,16,tableau_imp,15,18,15
230,16,5,16,qiskit_tableau,9,0,10
231,17,5,16,tableau,5,0,7
232,17,5,16,tableau_imp,7,2,9
233,17,5,16,qiskit_tableau,11,0,8
234,18,5,16,tableau,8,7,15
235,18,5,16,tableau_imp,8,7,16
236,18,5,16,qiskit_tableau,6,0,17
237,19,5,16,tableau,13,12,10
238,19,5,16,tableau_imp,9,4,12
239,19,5,16,qiskit_tableau,7,0,18
240,0,5,21,tableau,16,17,16
241,0,5,21,tableau_imp,11,13,15
242,0,5,21,qiskit_tableau,10,0,23
243,1,5,21,tableau,10,18,13
244,1,5,21,tableau_imp,11,20,22
245,1,5,21,qiskit_tableau,7,0,32
246,2,5,21,tableau,10,11,8
247,2,5,21,tableau_imp,10,11,8
248,2,5,21,qiskit_tableau,14,0,8
249,3,5,21,tableau,12,11,10
250,3,5,21,tableau_imp,15,12,13
251,3,5,21,qiskit_tableau,9,0,13
252,4,5,21,tableau,16,22,16
253,4,5,21,tableau_imp,9,14,17
254,4,5,21,qiskit_tableau,9,0,22
255,5,5,21,tableau,17,20,19
256,5,5,21,tableau_imp,21,24,21
257,5,5,21,qiskit_tableau,10,0,17
258,6,5,21,tableau,13,11,12
259,6,5,21,tableau_imp,7,4,9
260,6,5,21,qiskit_tableau,12,0,13
261,7,5,21,tableau,10,6,14
262,7,5,21,tableau_imp,6,4,12
263,7,5,21,qiskit_tableau,13,0,14
264,8,5,21,tableau,10,15,8
265,8,5,21,tableau_imp,10,8,12
266,8,5,21,qiskit_tableau,12,0,10
267,9,5,21,tableau,13,11,17
268,9,5,21,tableau_imp,10,9,9
269,9,5,21,qiskit_tableau,14,0,10
270,10,5,21,tableau,5,0,12
271,10,5,21,tableau_imp,4,2,12
272,10,5,21,qiskit_tableau,11,0,20
273,11,5,21,tableau,15,18,18
274,11,5,21,tableau_imp,20,20,17
275,11,5,21,qiskit_tableau,7,0,24
276,12,5,21,tableau,7,5,16
277,12,5,21,tableau_imp,10,16,13
278,12,5,21,qiskit_tableau,10,0,15
279,13,5,21,tableau,11,10,13
280,13,5,21,tableau_imp,15,15,18
281,13,5,21,qiskit_tableau,10,0,16
282,14,5,21,tableau,5,0,8
283,14,5,21,tableau_imp,5,0,8
284,14,5,21,qiskit_tableau,13,0,10
285,15,5,21,tableau,15,19,15
286,15,5,21,tableau_imp,12,10,18
287,15,5,21,qiskit_tableau,11,0,16
288,16,5,21,tableau,10,7,8
289,16,5,21,tableau_imp,12,14,12
290,16,5,21,qiskit_tableau,10,0,13
291,17,5,21,tableau,7,11,12
292,17,5,21,tableau_imp,7,6,10
293,17,5,21,qiskit_tableau,11,0,14
294,18,5,21,tableau,20,21,16
295,18,5,21,tableau_imp,15,11,17
296,18,5,21,qiskit_tableau,10,0,20
297,19,5,21,tableau,4,0,9
298,19,5,21,tableau_imp,10,8,9
299,19,5,21,qiskit_tableau,12,0,13
300,0,5,26,tableau,6,10,9
301,0,5,26,tableau_imp,6,11,9
302,0,5,26,qiskit_tableau,17,0,15
303,1,5,26,tableau,18,30,19
304,1,5,26,tableau_imp,6,15,21
305,1,5,26,qiskit_tableau,11,0,36
306,2,5,26,tableau,3,7,9
307,2,5,26,tableau_imp,9,14,12
308,2,5,26,qiskit_tableau,17,0,18
309,3,5,26,tableau,7,7,12
310,3,5,26,tableau_imp,7,7,12
311,3,5,26,qiskit_tableau,10,0,18
312,4,5,26,tableau,9,11,16
313,4,5,26,tableau_imp,6,15,14
314,4,5,26,qiskit_tableau,10,0,31
315,5,5,26,tableau,13,17,18
316,5,5,26,tableau_imp,15,20,17
317,5,5,26,qiskit_tableau,15,0,23
318,6,5,26,tableau,20,31,14
319,6,5,26,tableau_imp,26,26,19
320,6,5,26,qiskit_tableau,12,0,24
321,7,5,26,tableau,9,9,15
322,7,5,26,tableau_imp,12,8,15
323,7,5,26,qiskit_tableau,13,0,22
324,8,5,26,tableau,14,16,14
325,8,5,26,tableau_imp,14,17,18
326,8,5,26,qiskit_tableau,15,0,14
327,9,5,26,tableau,6,9,7
328,9,5,26,tableau_imp,6,9,7
329,9,5,26,qiskit_tableau,14,0,27
330,10,5,26,tableau,12,10,22
331,10,5,26,tableau_imp,11,8,20
332,10,5,26,qiskit_tableau,13,0,28
333,11,5,26,tableau,14,14,7
334,11,5,26,tableau_imp,6,14,10
335,11,5,26,qiskit_tableau,16,0,19
336,12,5,26,tableau,12,12,15
337,12,5,26,tableau_imp,19,17,16
338,12,5,26,qiskit_tableau,15,0,23
339,13,5,26,tableau,15,21,21
340,13,5,26,tableau_imp,12,26,24
341,13,5,26,qiskit_tableau,12,0,22
342,14,5,26,tableau,10,8,12
343,14,5,26,tableau_imp,12,17,14
344,14,5,26,qiskit_tableau,13,0,21
345,15,5,26,tableau,16,22,18
346,15,5,26,tableau_imp,13,19,15
347,15,5,26,qiskit_tableau,12,0,22
348,16,5,26,tableau,9,9,16
349,16,5,26,tableau_imp,9,9,16
350,16,5,26,qiskit_tableau,10,0,31
351,17,5,26,tableau,3,7,21
352,17,5,26,tableau_imp,9,16,21
353,17,5,26,qiskit_tableau,9,0,36
354,18,5,26,tableau,7,2,9
355,18,5,26,tableau_imp,13,8,10
356,18,5,26,qiskit_tableau,17,0,15
357,19,5,26,tableau,7,0,14
358,19,5,26,tableau_imp,20,20,15
359,19,5,26,qiskit_tableau,5,0,46
360,0,5,31,tableau,13,13,18
361,0,5,31,tableau_imp,11,15,19
362,0,5,31,qiskit_tableau,15,0,27
363,1,5,31,tableau,14,19,18
364,1,5,31,tableau_imp,13,6,16
365,1,5,31,qiskit_tableau,15,0,30
366,2,5,31,tableau,15,13,17
367,2,5,31,tableau_imp,16,16,16
368,2,5,31,qiskit_tableau,21,0,22
369,3,5,31,tableau,22,23,16
370,3,5,31,tableau_imp,15,15,11
371,3,5,31,qiskit_tableau,19,0,14
372,4,5,31,tableau,18,22,22
373,4,5,31,tableau_imp,20,20,22
374,4,5,31,qiskit_tableau,19,0,24
375,5,5,31,tableau,8,0,17
376,5,5,31,tableau_imp,16,17,17
377,5,5,31,qiskit_tableau,20,0,15
378,6,5,31,tableau,21,24,14
379,6,5,31,tableau_imp,16,25,17
380,6,5,31,qiskit_tableau,17,0,23
381,7,5,31,tableau,3,10,9
382,7,5,31,tableau_imp,14,17,11
383,7,5,31,qiskit_tableau,17,0,24
384,8,5,31,tableau,16,27,14
385,8,5,31,tableau_imp,17,24,21
386,8,5,31,qiskit_tableau,21,0,22
387,9,5,31,tableau,16,20,14
388,9,5,31,tableau_imp,17,24,15
389,9,5,31,qiskit_tableau,16,0,31
390,10,5,31,tableau,4,0,18
391,10,5,31,tableau_imp,13,14,16
392,10,5,31,qiskit_tableau,20,0,23
393,11,5,31,tableau,18,21,13
394,11,5,31,tableau_imp,18,28,17
395,11,5,31,qiskit_tableau,17,0,16
396,12,5,31,tableau,11,14,15
397,12,5,31,tableau_imp,17,22,14
398,12,5,31,qiskit_tableau,13,0,37
399,13,5,31,tableau,10,13,12
400,13,5,31,tableau_imp,12,19,12
401,13,5,31,qiskit_tableau,20,0,21
402,14,5,31,tableau,19,14,18
403,14,5,31,tableau_imp,20,11,19
404,14,5,31,qiskit_tableau,12,0,34
405,15,5,31,tableau,7,13,13
406,15,5,31,tableau_imp,11,10,14
407,15,5,31,qiskit_tableau,16,0,27
408,16,5,31,tableau,15,17,17
409,16,5,31,tableau_imp,15,17,16
410,16,5,31,qiskit_tableau,14,0,41
411,17,5,31,tableau,10,13,10
412,17,5,31,tableau_imp,10,13,10
413,17,5,31,qiskit_tableau,15,0,35
414,18,5,31,tableau,19,19,20
415,18,5,31,tableau_imp,21,19,19
416,18,5,31,qiskit_tableau,18,0,28
417,19,5,31,tableau,14,12,13
418,19,5,31,tableau_imp,22,28,13
419,19,5,31,qiskit_tableau,14,0,35
420,0,5,36,tableau,16,24,19
421,0,5,36,tableau_imp,23,30,18
422,0,5,36,qiskit_tableau,14,0,50
423,1,5,36,tableau,15,20,14
424,1,5,36,tableau_imp,12,19,9
425,1,5,36,qiskit_tableau,23,0,28
426,2,5,36,tableau,12,19,8
427,2,5,36,tableau_imp,12,20,13
428,2,5,36,qiskit_tableau,24,0,19
429,3,5,36,tableau,15,7,18
430,3,5,36,tableau_imp,15,15,12
431,3,5,36,qiskit_tableau,19,0,30
432,4,5,36,tableau,21,23,16
433,4,5,36,tableau_imp,16,21,18
434,4,5,36,qiskit_tableau,14,0,43
435,5,5,36,tableau,11,10,18
436,5,5,36,tableau_imp,17,16,17
437,5,5,36,qiskit_tableau,18,0,37
438,6,5,36,tableau,14,18,18
439,6,5,36,tableau_imp,16,26,20
440,6,5,36,qiskit_tableau,15,0,41
441,7,5,36,tableau,15,23,13
442,7,5,36,tableau_imp,15,23,13
443,7,5,36,qiskit_tableau,17,0,34
444,8,5,36,tableau,17,20,19
445,8,5,36,tableau_imp,16,21,18
446,8,5,36,qiskit_tableau,15,0,37
447,9,5,36,tableau,18,20,19
448,9,5,36,tableau_imp,16,27,14
449,9,5,36,qiskit_tableau,18,0,37
450,10,5,36,tableau,14,16,19
451,10,5,36,tableau_imp,10,10,13
452,10,5,36,qiskit_tableau,18,0,33
453,11,5,36,tableau,17,26,20
454,11,5,36,tableau_imp,15,18,23
