,name,n_qubits,gadgets,UCCSD-set (cx),UCCSD-set (depth),pauli-steiner-gray-synth (cx),pauli-steiner-gray-synth (depth),architecture-aware-UCCSD-set (cx),architecture-aware-UCCSD-set (depth)
0,H2_BK_sto3g,4,12,\textbf{33 (50.00)},\textbf{53 (46.46)},60 (9.09),90 (9.09),46 (30.30),77 (22.22)
1,H2_BK_631g,8,84,583 (50.84),\textbf{556 (59.62)},\textbf{544 (54.13)},706 (48.73),682 (42.50),643 (53.30)
2,H4_BK_sto3g,8,160,1847 (17.98),1355 (48.98),\textbf{996 (55.77)},1323 (50.19),1601 (28.91),\textbf{1131 (57.42)}
3,LiH_BK_sto3g,12,640,10052 (31.99),\textbf{5730 (64.97)},\textbf{4726 (68.02)},5830 (64.36),12098 (18.15),6384 (60.97)
4,NH_BK_sto3g,12,640,11326 (25.78),6068 (64.10),\textbf{4888 (67.97)},6233 (63.12),10490 (31.26),\textbf{5621 (66.74)}
5,H2O_BK_sto3g,14,1000,23688 (17.80),12146 (61.61),\textbf{8756 (69.62)},\textbf{10610 (66.47)},21829 (24.25),10777 (65.94)
6,CH2_BK_sto3g,14,1488,46717 (-10.37),18376 (60.21),\textbf{12006 (71.63)},\textbf{14681 (68.21)},31879 (24.68),14989 (67.54)
7,BeH2_BK_sto3g,14,1488,43056 (-3.58),17228 (62.01),\textbf{12594 (69.70)},\textbf{15053 (66.80)},32916 (20.81),15126 (66.64)
