,name,n_qubits,gadgets,UCCSD-set (cx),UCCSD-set (depth),pauli-steiner-gray-synth (cx),pauli-steiner-gray-synth (depth),architecture-aware-UCCSD-set (cx),architecture-aware-UCCSD-set (depth)
0,H2_JW_sto3g,4,12,55 (-14.06),76 (-23.23),44 (-31.25),86 (-13.13),53 (-17.19),80 (-19.19)
1,H2_JW_631g,8,84,637 (-42.30),610 (-54.07),484 (-56.16),729 (-45.11),590 (-46.56),542 (-59.19)
2,H4_JW_sto3g,8,160,1509 (-29.62),829 (-68.02),768 (-64.18),1180 (-54.48),1426 (-33.49),1059 (-59.14)
3,NH_JW_sto3g,12,640,7567 (-45.01),4030 (-74.12),2960 (-78.49),4356 (-72.03),8236 (-40.15),4560 (-70.72)
4,LiH_JW_sto3g,12,640,7399 (-46.23),4066 (-73.71),2992 (-78.26),4379 (-71.69),8299 (-39.69),4906 (-68.28)
5,H2O_JW_sto3g,14,1000,13581 (-46.78),7710 (-72.82),4708 (-81.55),6794 (-76.05),14144 (-44.58),7574 (-73.30)
6,BeH2_JW_sto3g,14,1488,25531 (-33.01),11119 (-73.59),6996 (-81.64),9781 (-76.77),26694 (-29.96),11993 (-71.52)
7,CH2_JW_sto3g,14,1488,24235 (-36.41),10322 (-75.54),6436 (-83.11),9236 (-78.11),28310 (-25.72),12376 (-70.67)
