,name,n_qubits,gadgets,UCCSD-set (cx),UCCSD-set (depth),pauli-steiner-gray-synth (cx),pauli-steiner-gray-synth (depth),architecture-aware-UCCSD-set (cx),architecture-aware-UCCSD-set (depth)
0,H2_BK_sto3g,4,12,\textbf{18 (60.87)},\textbf{41 (45.33)},28 (39.13),56 (25.33),22 (52.17),50 (33.33)
1,H2_BK_631g,8,84,\textbf{180 (66.04)},334 (56.45),306 (42.26),485 (36.77),245 (53.77),\textbf{311 (59.45)}
2,H4_BK_sto3g,8,160,494 (57.85),740 (52.35),508 (56.66),830 (46.56),\textbf{451 (61.52)},\textbf{516 (66.77)}
3,LiH_BK_sto3g,12,640,\textbf{2004 (67.78)},\textbf{2912 (61.56)},2462 (60.42),3723 (50.86),3621 (41.78),3467 (54.24)
4,NH_BK_sto3g,12,640,\textbf{2164 (64.43)},3014 (59.87),2456 (59.63),3744 (50.15),2950 (51.51),\textbf{2866 (61.84)}
5,H2O_BK_sto3g,14,1000,\textbf{4045 (64.60)},\textbf{5305 (60.69)},4456 (61.00),6440 (52.29),6281 (45.03),5669 (58.00)
6,CH2_BK_sto3g,14,1488,6620 (59.19),\textbf{7540 (61.25)},\textbf{6056 (62.67)},8795 (54.80),9688 (40.28),8559 (56.02)
7,BeH2_BK_sto3g,14,1488,\textbf{6313 (62.12)},\textbf{7272 (63.07)},6462 (61.23),9487 (51.82),10907 (34.56),9559 (51.45)
