,name,n_qubits,gadgets,UCCSD-set (cx),UCCSD-set (depth),pauli-steiner-gray-synth (cx),pauli-steiner-gray-synth (depth),architecture-aware-UCCSD-set (cx),architecture-aware-UCCSD-set (depth)
0,H2_JW_sto3g,4,12,30 (53.12),57 (41.84),38 (40.62),78 (20.41),\textbf{24 (62.50)},\textbf{52 (46.94)}
1,H2_JW_631g,8,84,\textbf{198 (71.22)},361 (61.39),370 (46.22),618 (33.90),232 (66.28),\textbf{289 (69.09)}
2,H4_JW_sto3g,8,160,\textbf{393 (70.05)},502 (71.72),594 (54.73),1026 (42.20),397 (69.74),\textbf{479 (73.01)}
3,NH_JW_sto3g,12,640,\textbf{1525 (78.14)},\textbf{2015 (77.17)},2090 (70.04),3512 (60.21),2483 (64.41),2354 (73.33)
4,LiH_JW_sto3g,12,640,\textbf{1559 (77.65)},\textbf{2046 (76.85)},2518 (63.90),4120 (53.38),2346 (66.37),2207 (75.03)
5,H2O_JW_sto3g,14,1000,\textbf{2649 (78.36)},\textbf{3595 (76.27)},3150 (74.26),5269 (65.22),4372 (64.28),3926 (74.08)
6,BeH2_JW_sto3g,14,1488,\textbf{4285 (76.47)},\textbf{4989 (77.89)},5846 (67.89),8996 (60.12),7798 (57.17),6781 (69.94)
7,CH2_JW_sto3g,14,1488,\textbf{4052 (77.75)},\textbf{4728 (79.04)},5174 (71.58),8169 (63.79),7876 (56.74),6815 (69.79)
